code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
42005;0.0;0.0;-8.7;894.0;2.0;1.0;2020-01-01
42204;0.0;;;0.0;4.1;;2020-01-01
42011;0.0;;;909.0;1.8;;2020-01-01
42076;0.0;;;;;;2020-01-01
42101;0.0;;;0.0;5.7;1.0;2020-01-01
42204;0.0;;;;;;2020-01-01
42225;0.0;;;;;;2020-01-01
42287;0.0;;;;;;2020-01-01
42102;0.0;;;;3.8;;2020-01-01
42094;0.0;;;862.0;1.4;;2020-01-01
42218;0.0;;;391.0;4.2;2.6;2020-01-01
42059;0.0;;;;4.0;;2020-01-01
42102;0.0;;;0.0;4.3;;2020-01-01
42165;0.0;;;;;;2020-01-01
42018;0.2;;;1128.0;0.2;;2020-01-01
42056;0.0;;;;;;2020-01-01
42023;0.0;;;737.0;4.3;;2020-01-01
42032;0.0;;;973.0;1.7;;2020-01-01
42322;0.0;;;0.0;4.8;;2020-01-01
42230;0.0;;;;0.9;;2020-01-01
42207;0.0;;-5.9;1228.0;-0.9;1.0;2020-01-01
42159;0.2;;;;;;2020-01-01
42218;0.2;;;492.0;3.7;2.2;2020-01-02
42056;0.1;;;;;;2020-01-02
42101;0.0;;;0.0;4.9;1.4;2020-01-02
42076;0.0;;;;;;2020-01-02
42204;0.0;;;;;;2020-01-02
42225;0.0;;;;;;2020-01-02
42018;0.2;;;812.0;0.4;;2020-01-02
42165;0.0;;;;;;2020-01-02
42094;0.0;;;747.0;1.4;;2020-01-02
42159;0.1;;;;;;2020-01-02
42287;0.0;;;;;;2020-01-02
42207;0.0;;-3.5;1231.0;-0.7;0.5;2020-01-02
42204;0.0;;;42.0;4.3;;2020-01-02
42102;0.0;;;;5.4;;2020-01-02
42023;0.0;;;589.0;2.4;;2020-01-02
42032;0.5;;;952.0;1.1;;2020-01-02
42005;0.0;0.0;-7.6;655.0;2.0;1.1;2020-01-02
42059;0.0;;;;3.9;;2020-01-02
42102;0.0;;;0.0;5.7;;2020-01-02
42322;0.2;;;73.0;3.9;;2020-01-02
42011;0.2;;;988.0;2.3;;2020-01-02
42230;0.0;;;;1.2;;2020-01-02
42101;0.6;;;0.0;5.7;4.0;2020-01-03
42056;0.1;;;;;;2020-01-03
42218;1.0;;;0.0;6.4;2.2;2020-01-03
42322;0.0;;;0.0;6.8;;2020-01-03
42018;0.2;;;0.0;5.3;;2020-01-03
42005;0.8;140.0;-4.7;505.0;4.9;1.5;2020-01-03
42225;1.0;;;;;;2020-01-03
42094;1.0;;;582.0;2.1;;2020-01-03
42230;1.0;;;;3.3;;2020-01-03
42204;0.0;;;;;;2020-01-03
42032;0.0;;;0.0;6.4;;2020-01-03
42287;1.1;;;;;;2020-01-03
42102;0.5;;;;5.9;;2020-01-03
42011;0.6;;;580.0;1.8;;2020-01-03
42102;0.2;;;0.0;7.4;;2020-01-03
42207;0.2;;-1.3;0.0;5.3;2.0;2020-01-03
42165;2.4;;;;;;2020-01-03
42059;0.5;;;;4.4;;2020-01-03
42159;0.1;;;;;;2020-01-03
42204;0.0;;;0.0;6.9;;2020-01-03
42076;1.2;;;;;;2020-01-03
42023;0.2;;;427.0;4.6;;2020-01-03
42204;1.0;;;17.0;2.8;;2020-01-04
42076;0.0;;;;;;2020-01-04
42094;0.2;;;0.0;6.2;;2020-01-04
42101;0.8;;;542.0;0.8;6.6;2020-01-04
42023;0.0;;;0.0;5.7;;2020-01-04
42032;0.0;;;0.0;5.7;;2020-01-04
42011;0.0;;;0.0;5.8;;2020-01-04
42018;0.2;;;0.0;5.8;;2020-01-04
42322;0.2;;;0.0;4.8;;2020-01-04
42159;0.2;;;;;;2020-01-04
42287;0.0;;;;;;2020-01-04
42005;0.0;4.0;1.2;89.0;5.5;2.2;2020-01-04
42102;0.6;;;184.0;3.0;;2020-01-04
42165;0.0;;;;;;2020-01-04
42207;0.0;;0.4;0.0;5.8;2.9;2020-01-04
42059;0.0;;;;4.9;;2020-01-04
42204;2.1;;;;;;2020-01-04
42218;0.6;;;0.0;4.4;2.2;2020-01-04
42230;0.1;;;;4.7;;2020-01-04
42056;0.1;;;;;;2020-01-04
42225;0.0;;;;;;2020-01-04
42102;0.8;;;;4.9;;2020-01-04
42059;0.0;;;;1.8;;2020-01-05
42102;0.0;;;863.0;0.7;;2020-01-05
42102;0.0;;;;0.6;;2020-01-05
42218;0.0;;;0.0;2.9;1.4;2020-01-05
42005;0.0;0.0;-6.6;609.0;1.4;1.3;2020-01-05
42287;0.0;;;;;;2020-01-05
42165;0.0;;;;;;2020-01-05
42225;0.0;;;;;;2020-01-05
42204;0.0;;;;;;2020-01-05
42018;0.0;;;36.0;4.9;;2020-01-05
42056;0.0;;;;;;2020-01-05
42101;0.0;;;1430.0;0.4;6.9;2020-01-05
42076;0.2;;;;;;2020-01-05
42032;0.0;;;0.0;4.4;;2020-01-05
42023;0.0;;;360.0;4.4;;2020-01-05
42204;0.0;;;359.0;1.9;;2020-01-05
42094;0.0;;;348.0;3.1;;2020-01-05
42207;0.0;;-0.9;37.0;4.2;2.5;2020-01-05
42230;0.0;;;;3.8;;2020-01-05
42159;0.1;;;;;;2020-01-05
42011;0.0;;;510.0;3.2;;2020-01-05
42322;0.0;;;143.0;3.3;;2020-01-05
42225;0.0;;;;;;2020-01-06
42094;0.0;;;774.0;2.8;;2020-01-06
42056;0.2;;;;;;2020-01-06
42204;0.0;;;;;;2020-01-06
42102;0.0;;;;4.6;;2020-01-06
42287;0.0;;;;;;2020-01-06
42101;0.0;;;59.0;3.2;2.2;2020-01-06
42059;0.0;;;;4.3;;2020-01-06
42102;0.0;;;248.0;5.0;;2020-01-06
42023;0.0;;;607.0;5.1;;2020-01-06
42159;0.2;;;;;;2020-01-06
42204;0.0;;;35.0;5.1;;2020-01-06
42005;0.0;0.0;-6.3;424.0;4.4;2.8;2020-01-06
42032;0.0;;;300.0;3.5;;2020-01-06
42218;0.2;;;298.0;6.1;2.4;2020-01-06
42165;0.0;;;;;;2020-01-06
42230;0.3;;;;3.0;;2020-01-06
42207;0.0;;-6.0;601.0;2.5;1.4;2020-01-06
42018;0.2;;;382.0;3.3;;2020-01-06
42076;0.0;;;;;;2020-01-06
42322;0.2;;;496.0;4.9;;2020-01-06
42011;0.2;;;861.0;3.2;;2020-01-06
42230;0.2;;;;4.1;;2020-01-07
42287;0.0;;;;;;2020-01-07
42023;0.0;;;0.0;5.0;;2020-01-07
42018;0.8;;;23.0;5.3;;2020-01-07
42207;0.4;;-0.9;0.0;5.1;2.9;2020-01-07
42056;0.7;;;;;;2020-01-07
42102;1.2;;;;4.1;;2020-01-07
42059;1.3;;;;3.5;;2020-01-07
42218;0.6;;;17.0;3.5;1.8;2020-01-07
42005;0.0;;-4.8;272.0;2.4;1.2;2020-01-07
42322;0.8;;;0.0;4.7;;2020-01-07
42076;0.3;;;;;;2020-01-07
42159;0.3;;;;;;2020-01-07
42094;0.6;;;300.0;2.8;;2020-01-07
42225;0.9;;;;;;2020-01-07
42204;0.0;;;;;;2020-01-07
