code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
87011;0.5;;;;;;2020-01-01
87064;0.2;;;0.0;3.4;1.6;2020-01-01
87113;1.4;;;0.0;3.1;;2020-01-01
87126;1.0;;;;5.8;;2020-01-01
87059;0.4;;;;;;2020-01-01
87154;2.0;;;0.0;6.3;2.0;2020-01-01
87168;2.0;;;;;;2020-01-01
87193;0.5;;;;;;2020-01-01
87089;0.4;;;0.0;5.5;3.3;2020-01-01
87011;0.0;;;;;;2020-01-02
87126;0.2;;;;8.0;;2020-01-02
87089;0.0;;;0.0;7.4;2.9;2020-01-02
87193;0.0;;;;;;2020-01-02
87059;0.0;;;;;;2020-01-02
87168;0.3;;;;;;2020-01-02
87154;0.2;;;0.0;8.1;1.5;2020-01-02
87113;0.6;;;0.0;7.8;;2020-01-02
87064;0.0;;;0.0;6.7;2.9;2020-01-02
87011;3.0;;;;;;2020-01-03
87089;2.6;;;0.0;8.1;4.3;2020-01-03
87059;4.0;;;;;;2020-01-03
87126;5.6;;;;7.8;;2020-01-03
87154;3.6;;;0.0;8.0;2.2;2020-01-03
87168;6.5;;;;;;2020-01-03
87193;6.0;;;;;;2020-01-03
87064;3.2;;;0.0;5.4;2.5;2020-01-03
87113;4.8;;;0.0;4.4;;2020-01-03
87168;0.4;;;;;;2020-01-04
87059;0.0;;;;;;2020-01-04
87126;0.0;;;;5.8;;2020-01-04
87011;0.0;;;;;;2020-01-04
87154;0.2;;;0.0;5.9;2.3;2020-01-04
87113;0.0;;;113.0;6.5;;2020-01-04
87193;0.0;;;;;;2020-01-04
87089;0.0;;;122.0;4.4;1.7;2020-01-04
87064;0.2;;;0.0;5.0;1.8;2020-01-04
87059;0.0;;;;;;2020-01-05
87154;0.2;;;51.0;4.2;2.9;2020-01-05
87168;0.1;;;;;;2020-01-05
87089;0.2;;;271.0;3.2;2.4;2020-01-05
87011;0.0;;;;;;2020-01-05
87126;0.4;;;;4.0;;2020-01-05
87113;0.2;;;577.0;2.8;;2020-01-05
87193;0.0;;;;;;2020-01-05
87064;0.0;;;0.0;4.3;3.9;2020-01-05
87168;0.4;;;;;;2020-01-06
87113;1.4;;;542.0;4.4;;2020-01-06
87089;1.2;;;477.0;5.0;2.6;2020-01-06
87126;0.9;;;;4.5;;2020-01-06
87193;1.0;;;;;;2020-01-06
87154;1.0;;;481.0;4.7;2.1;2020-01-06
87011;0.9;;;;;;2020-01-06
87064;0.2;;;0.0;6.9;1.6;2020-01-06
87059;1.4;;;;;;2020-01-06
87011;1.8;;;;;;2020-01-07
87193;4.5;;;;;;2020-01-07
87089;1.0;;;0.0;5.9;2.6;2020-01-07
87168;1.0;;;;;;2020-01-07
87064;2.6;;;0.0;4.9;1.1;2020-01-07
87113;4.2;;;0.0;4.3;;2020-01-07
87059;2.0;;;;;;2020-01-07
87126;2.4;;;;5.0;;2020-01-07
87154;3.8;;;0.0;5.1;1.1;2020-01-07
87126;0.1;;;;10.5;;2020-01-08
87011;0.0;;;;;;2020-01-08
87168;0.2;;;;;;2020-01-08
87154;0.2;;;0.0;10.1;1.1;2020-01-08
87113;0.2;;;0.0;9.2;;2020-01-08
87059;0.6;;;;;;2020-01-08
87193;0.0;;;;;;2020-01-08
87064;0.2;;;0.0;8.4;1.0;2020-01-08
87089;0.0;;;0.0;10.4;2.9;2020-01-08
87154;5.4;;;0.0;9.4;3.6;2020-01-09
87126;7.7;;;;10.0;;2020-01-09
87059;7.0;;;;;;2020-01-09
87193;13.5;;;;;;2020-01-09
87064;11.4;;;0.0;8.7;5.1;2020-01-09
87089;5.4;;;0.0;10.5;6.5;2020-01-09
87011;6.5;;;;;;2020-01-09
87113;6.6;;;0.0;8.3;;2020-01-09
87168;7.0;;;;;;2020-01-09
87113;1.2;;;0.0;6.6;;2020-01-10
87089;0.4;;;0.0;7.6;2.9;2020-01-10
87064;2.0;;;0.0;5.3;1.7;2020-01-10
87193;2.1;;;;;;2020-01-10
87059;0.0;;;;;;2020-01-10
87154;1.2;;;0.0;7.3;2.8;2020-01-10
87168;0.3;;;;;;2020-01-10
87126;0.0;;;;8.0;;2020-01-10
87011;0.0;;;;;;2020-01-10
87154;0.0;;;68.0;4.2;1.0;2020-01-11
87113;0.0;;;208.0;5.6;;2020-01-11
87168;0.3;;;;;;2020-01-11
87064;0.0;;;0.0;4.2;0.9;2020-01-11
87193;0.0;;;;;;2020-01-11
87011;0.0;;;;;;2020-01-11
87126;0.3;;;;4.1;;2020-01-11
87089;0.0;;;89.0;5.5;0.8;2020-01-11
87059;0.0;;;;;;2020-01-11
87193;0.0;;;;;;2020-01-12
87089;1.2;;;408.0;3.1;2.6;2020-01-12
87126;1.5;;;;2.7;;2020-01-12
87064;1.6;;;90.0;3.0;0.8;2020-01-12
87011;1.5;;;;;;2020-01-12
87113;2.4;;;563.0;2.2;;2020-01-12
87059;1.5;;;;;;2020-01-12
87168;0.0;;;;;;2020-01-12
87154;3.4;;;590.0;2.1;1.8;2020-01-12
87089;0.0;;;0.0;8.4;4.8;2020-01-13
87113;0.0;;;0.0;7.6;;2020-01-13
87059;0.0;;;;;;2020-01-13
87193;0.0;;;;;;2020-01-13
87064;0.0;;;0.0;7.1;3.4;2020-01-13
87154;0.0;;;0.0;7.7;2.3;2020-01-13
