code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
21012;0.4;;;;;;2020-01-01
21425;0.4;;;652.0;0.3;;2020-01-01
21445;0.1;;;;;;2020-01-01
21231;0.0;;;;-1.2;;2020-01-01
21473;0.0;0.0;-0.7;1297.0;-0.6;1.4;2020-01-01
21527;0.2;;;1294.0;-1.7;;2020-01-01
21561;0.0;;-4.7;684.0;-0.4;1.9;2020-01-01
21231;0.0;;;;;;2020-01-01
21564;0.7;;;;;;2020-01-01
21590;0.0;;;1022.0;-0.7;;2020-01-01
21603;0.2;;;651.0;-1.0;;2020-01-01
21154;0.0;;-7.9;630.0;-0.9;1.4;2020-01-01
21633;0.0;;;643.0;-0.4;;2020-01-01
21638;0.0;;;1440.0;-2.1;;2020-01-01
21710;0.4;;;;;;2020-01-01
21056;0.4;;;;;;2020-01-01
21332;0.0;;;;;;2020-01-01
21332;0.0;;;;;;2020-01-02
21056;0.3;;;;;;2020-01-02
21445;0.3;;;;;;2020-01-02
21710;0.0;;;;;;2020-01-02
21231;0.0;;;;0.8;;2020-01-02
21473;0.0;0.0;0.3;0.0;0.7;2.6;2020-01-02
21638;0.0;;;496.0;0.7;;2020-01-02
21425;0.8;;;0.0;4.7;;2020-01-02
21633;0.0;;;0.0;3.1;;2020-01-02
21561;0.0;;-1.2;522.0;2.4;3.4;2020-01-02
21154;0.0;;-0.6;0.0;4.6;3.6;2020-01-02
21603;0.0;;;0.0;4.2;;2020-01-02
21231;0.0;;;;;;2020-01-02
21564;0.0;;;;;;2020-01-02
21527;0.2;;;874.0;1.6;;2020-01-02
21012;0.4;;;;;;2020-01-02
21590;0.0;;;109.0;0.7;;2020-01-02
21154;1.2;;2.5;0.0;6.4;4.6;2020-01-03
21603;1.0;;;0.0;6.0;;2020-01-03
21561;5.6;;2.1;0.0;4.8;4.5;2020-01-03
21633;2.6;;;0.0;4.6;;2020-01-03
21527;2.2;;;66.0;3.3;;2020-01-03
21638;1.0;;;294.0;3.0;;2020-01-03
21332;0.5;;;;;;2020-01-03
21473;0.2;32.0;-0.2;246.0;3.4;;2020-01-03
21231;1.2;;;;3.4;;2020-01-03
21564;0.0;;;;;;2020-01-03
21590;0.2;;;505.0;2.9;;2020-01-03
21710;3.0;;;;;;2020-01-03
21231;1.0;;;;;;2020-01-03
21425;3.6;;;0.0;5.9;;2020-01-03
