code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
67067;0.0;;;1440.0;-2.9;;2020-01-01
67124;0.0;0.0;-5.6;1440.0;-2.1;1.2;2020-01-01
67519;0.0;;;;;;2020-01-01
67437;0.0;;;;;;2020-01-01
67186;0.0;;;;;;2020-01-01
67555;0.0;;;;;;2020-01-01
67296;0.8;;;;;;2020-01-01
67463;0.0;;;;;;2020-01-01
67180;0.3;;;;;;2020-01-01
67443;0.0;;;1233.0;-0.8;2.5;2020-01-01
67507;0.1;;;;-1.5;;2020-01-01
67122;0.0;;;1440.0;-2.2;;2020-01-01
67122;0.4;;;901.0;1.2;;2020-01-02
67186;1.0;;;;;;2020-01-02
67067;0.4;;;957.0;0.3;;2020-01-02
67463;0.0;;;;;;2020-01-02
67437;1.1;;;;;;2020-01-02
67519;0.0;;;;;;2020-01-02
67443;0.0;;;1224.0;1.3;2.2;2020-01-02
67180;0.5;;;;;;2020-01-02
67555;0.2;;;;;;2020-01-02
67124;0.4;0.0;-1.6;962.0;1.0;2.3;2020-01-02
67296;0.1;;;;;;2020-01-02
67507;0.0;;;;0.6;;2020-01-02
67067;0.6;;;0.0;4.4;;2020-01-03
67463;3.3;;;;;;2020-01-03
67555;1.0;;;;;;2020-01-03
67124;0.0;67.0;-0.3;0.0;4.9;3.9;2020-01-03
67296;0.4;;;;;;2020-01-03
67443;1.6;;;0.0;4.2;4.9;2020-01-03
67519;0.5;;;;;;2020-01-03
67180;0.7;;;;;;2020-01-03
67437;2.6;;;;;;2020-01-03
67507;5.3;;;;4.6;;2020-01-03
67186;1.4;;;;;;2020-01-03
67122;6.0;;;0.0;6.0;;2020-01-03
67067;0.0;;;0.0;4.1;;2020-01-04
67122;0.6;;;0.0;3.1;;2020-01-04
67186;0.0;;;;;;2020-01-04
67463;0.0;;;;;;2020-01-04
67437;0.2;;;;;;2020-01-04
67443;0.0;;;0.0;4.5;4.0;2020-01-04
67507;0.1;;;;5.6;;2020-01-04
67124;0.4;30.0;2.1;0.0;6.2;2.9;2020-01-04
67180;0.2;;;;;;2020-01-04
67555;0.0;;;;;;2020-01-04
67519;0.0;;;;;;2020-01-04
67296;0.5;;;;;;2020-01-04
67555;0.0;;;;;;2020-01-05
67180;0.1;;;;;;2020-01-05
67463;0.0;;;;;;2020-01-05
67124;0.0;0.0;-1.6;224.0;3.3;1.1;2020-01-05
67519;0.3;;;;;;2020-01-05
67067;0.0;;;326.0;3.1;;2020-01-05
67443;0.0;;;0.0;5.2;2.1;2020-01-05
67186;0.0;;;;;;2020-01-05
67437;0.0;;;;;;2020-01-05
67507;0.1;;;;1.7;;2020-01-05
67122;0.0;;;0.0;2.5;;2020-01-05
67296;0.2;;;;;;2020-01-05
67067;0.6;;;803.0;1.4;;2020-01-06
67186;0.7;;;;;;2020-01-06
67122;1.4;;;534.0;2.5;;2020-01-06
67437;2.4;;;;;;2020-01-06
67519;0.6;;;;;;2020-01-06
67555;0.8;;;;;;2020-01-06
67124;0.4;32.0;-3.7;958.0;0.8;0.9;2020-01-06
67443;1.2;;;648.0;1.7;2.0;2020-01-06
67463;1.1;;;;;;2020-01-06
67507;0.0;;;;0.2;;2020-01-06
67296;0.5;;;;;;2020-01-06
67180;0.6;;;;;;2020-01-06
67437;0.0;;;;;;2020-01-07
67507;0.8;;;;4.6;;2020-01-07
67180;0.1;;;;;;2020-01-07
67555;0.1;;;;;;2020-01-07
67296;0.2;;;;;;2020-01-07
67443;0.0;;;0.0;4.1;3.5;2020-01-07
