code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
76159;0.3;;;;;;2020-01-01
76273;0.6;;;;;;2020-01-01
76316;0.0;;;;;;2020-01-01
76473;0.2;;;0.0;2.1;1.9;2020-01-01
76540;0.6;;;;3.7;;2020-01-01
76228;0.4;;-1.5;451.0;1.7;;2020-01-01
76647;1.5;;;;;;2020-01-01
76655;0.0;;;;;;2020-01-01
76746;0.0;;;63.0;2.7;3.5;2020-01-01
76217;0.2;;-0.7;102.0;2.5;3.2;2020-01-01
76312;0.8;;;;;;2020-01-01
76159;1.7;;;;;;2020-01-02
76228;1.0;;3.3;0.0;6.7;3.5;2020-01-02
76647;0.8;;;;;;2020-01-02
76655;0.0;;;;;;2020-01-02
76217;0.6;;3.8;0.0;7.4;3.8;2020-01-02
76312;1.3;;;;;;2020-01-02
76540;0.3;;;;7.0;;2020-01-02
76473;0.2;;;0.0;7.8;1.9;2020-01-02
76273;1.3;;;;;;2020-01-02
76316;0.8;;;;;;2020-01-02
76746;0.2;;;0.0;7.1;4.4;2020-01-02
76655;2.8;;;;;;2020-01-03
76316;1.2;;;;;;2020-01-03
76273;2.7;;;;;;2020-01-03
76217;1.0;;8.1;0.0;9.6;6.2;2020-01-03
76647;0.0;;;;;;2020-01-03
76228;1.2;;5.4;0.0;8.6;5.0;2020-01-03
76159;2.6;;;;;;2020-01-03
76473;2.0;;;0.0;9.5;2.7;2020-01-03
76312;1.0;;;;;;2020-01-03
76540;0.5;;;;8.4;;2020-01-03
76746;1.6;;;0.0;9.1;6.6;2020-01-03
76228;0.8;;-1.6;0.0;5.0;2.6;2020-01-04
76217;0.0;;2.4;0.0;6.6;5.5;2020-01-04
76316;0.2;;;;;;2020-01-04
76647;1.8;;;;;;2020-01-04
76746;0.0;;;0.0;7.7;5.3;2020-01-04
76540;0.6;;;;5.4;;2020-01-04
76273;0.5;;;;;;2020-01-04
76655;0.0;;;;;;2020-01-04
76473;0.4;;;210.0;4.3;1.0;2020-01-04
76159;1.1;;;;;;2020-01-04
76312;0.1;;;;;;2020-01-04
76746;0.6;;;0.0;7.9;2.9;2020-01-05
76159;0.3;;;;;;2020-01-05
76273;0.2;;;;;;2020-01-05
76540;0.0;;;;7.5;;2020-01-05
76217;0.0;;6.8;0.0;8.1;2.1;2020-01-05
76647;0.0;;;;;;2020-01-05
76228;1.2;;2.4;0.0;6.1;2.3;2020-01-05
76655;0.0;;;;;;2020-01-05
76316;0.2;;;;;;2020-01-05
76473;0.6;;;0.0;7.4;0.8;2020-01-05
76312;0.1;;;;;;2020-01-05
76273;0.4;;;;;;2020-01-06
76655;0.0;;;;;;2020-01-06
76159;0.4;;;;;;2020-01-06
76540;0.4;;;;4.9;;2020-01-06
76316;0.2;;;;;;2020-01-06
76473;0.4;;;177.0;4.1;1.4;2020-01-06
76217;0.0;;0.9;0.0;5.9;3.9;2020-01-06
76228;0.0;;-0.8;0.0;4.7;4.0;2020-01-06
76312;0.2;;;;;;2020-01-06
76647;0.0;;;;;;2020-01-06
76746;0.0;;;0.0;5.7;4.9;2020-01-06
76217;0.0;;6.2;0.0;10.0;4.8;2020-01-07
76540;0.0;;;;9.3;;2020-01-07
76159;0.4;;;;;;2020-01-07
76647;0.0;;;;;;2020-01-07
76473;0.2;;;0.0;9.7;1.7;2020-01-07
76312;0.5;;;;;;2020-01-07
76655;0.0;;;;;;2020-01-07
76273;1.2;;;;;;2020-01-07
76746;0.0;;;0.0;9.4;5.5;2020-01-07
76228;0.0;;4.5;0.0;8.5;4.2;2020-01-07
76316;0.2;;;;;;2020-01-07
76655;1.9;;;;;;2020-01-08
76159;2.5;;;;;;2020-01-08
76228;0.2;;9.9;0.0;11.3;4.4;2020-01-08
76540;0.2;;;;12.5;;2020-01-08
76316;1.8;;;;;;2020-01-08
76217;1.2;;10.6;0.0;12.1;3.5;2020-01-08
76746;0.6;;;0.0;11.9;5.3;2020-01-08
76647;2.5;;;;;;2020-01-08
76312;2.2;;;;;;2020-01-08
76473;0.0;;;0.0;12.1;2.6;2020-01-08
76273;2.3;;;;;;2020-01-08
76540;1.6;;;;13.0;;2020-01-09
76228;8.8;;10.1;0.0;11.8;5.6;2020-01-09
76217;3.8;;10.9;0.0;12.4;5.8;2020-01-09
76473;3.4;;;0.0;12.5;4.0;2020-01-09
76746;9.0;;;0.0;12.3;6.8;2020-01-09
76316;3.3;;;;;;2020-01-09
76273;2.4;;;;;;2020-01-09
76655;8.4;;;;;;2020-01-09
76159;11.7;;;;;;2020-01-09
76312;8.7;;;;;;2020-01-09
76647;7.5;;;;;;2020-01-09
76228;0.0;;4.7;0.0;6.2;3.1;2020-01-10
