code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
61001;3.2;165.0;0.2;0.0;3.4;0.7;2020-01-01
61485;0.6;;;0.0;3.2;;2020-01-01
61404;1.4;;;0.0;3.2;3.0;2020-01-01
61386;2.1;;;;;;2020-01-01
61345;4.2;;;;;;2020-01-01
61328;1.5;;0.0;;3.4;;2020-01-01
61169;0.4;;2.2;0.0;4.7;1.6;2020-01-01
61123;0.9;;;;;;2020-01-01
61007;1.5;;;;;;2020-01-01
61006;0.8;;;0.0;3.7;2.6;2020-01-01
61491;2.2;;;0.0;3.2;;2020-01-01
61404;1.2;;;0.0;7.3;5.2;2020-01-02
61328;1.0;;5.3;;7.7;;2020-01-02
61386;1.8;;;;;;2020-01-02
61007;1.5;;;;;;2020-01-02
61169;1.2;;5.3;0.0;8.1;5.7;2020-01-02
61485;1.0;;;0.0;7.5;;2020-01-02
61001;0.4;121.0;2.9;0.0;7.5;2.8;2020-01-02
61345;0.3;;;;;;2020-01-02
61491;0.8;;;0.0;7.2;;2020-01-02
61123;0.5;;;;;;2020-01-02
61006;0.6;;;0.0;8.0;3.2;2020-01-02
61404;0.8;;;0.0;8.2;5.8;2020-01-03
61328;1.0;;5.2;;8.3;;2020-01-03
61169;0.2;;5.8;0.0;8.5;5.7;2020-01-03
61485;1.0;;;0.0;7.9;;2020-01-03
61001;0.2;89.0;5.5;0.0;9.1;4.1;2020-01-03
61006;0.8;;;0.0;8.9;4.2;2020-01-03
61007;0.3;;;;;;2020-01-03
61386;1.5;;;;;;2020-01-03
61491;0.6;;;0.0;8.4;;2020-01-03
61345;1.0;;;;;;2020-01-03
61123;1.0;;;;;;2020-01-03
61404;0.0;;;0.0;4.0;1.8;2020-01-04
61328;0.0;;-3.8;;3.7;;2020-01-04
61386;0.2;;;;;;2020-01-04
61169;0.0;;-4.3;399.0;3.6;2.8;2020-01-04
61001;0.0;0.0;-4.3;38.0;4.3;1.8;2020-01-04
61123;0.0;;;;;;2020-01-04
61345;0.0;;;;;;2020-01-04
61491;0.2;;;419.0;3.7;;2020-01-04
61006;0.2;;;19.0;4.0;2.2;2020-01-04
61007;0.6;;;;;;2020-01-04
61485;0.0;;;0.0;5.2;;2020-01-04
61001;0.0;0.0;2.5;0.0;6.8;1.0;2020-01-05
61328;0.5;;4.1;;6.1;;2020-01-05
61123;0.0;;;;;;2020-01-05
61345;0.0;;;;;;2020-01-05
61404;0.0;;;0.0;6.2;1.3;2020-01-05
61386;0.0;;;;;;2020-01-05
61007;0.1;;;;;;2020-01-05
61491;0.0;;;0.0;6.1;;2020-01-05
61485;0.2;;;0.0;6.2;;2020-01-05
61006;0.0;;;0.0;6.7;1.4;2020-01-05
61169;0.0;;-0.3;0.0;4.6;2.1;2020-01-05
61485;0.6;;;81.0;3.4;;2020-01-06
61007;0.7;;;;;;2020-01-06
61123;1.0;;;;;;2020-01-06
61491;0.2;;;467.0;2.2;;2020-01-06
61006;0.4;;;219.0;3.5;3.0;2020-01-06
61169;0.8;;-4.6;281.0;2.9;3.8;2020-01-06
61345;0.0;;;;;;2020-01-06
61328;0.5;;-3.7;;3.9;;2020-01-06
61404;0.4;;;0.0;3.7;4.0;2020-01-06
61386;0.0;;;;;;2020-01-06
61001;0.0;2.0;-6.1;394.0;3.6;2.5;2020-01-06
61006;0.0;;;0.0;9.1;2.7;2020-01-07
61485;0.0;;;0.0;8.6;;2020-01-07
61491;0.2;;;0.0;7.6;;2020-01-07
61328;0.0;;3.5;;9.0;;2020-01-07
61123;0.0;;;;;;2020-01-07
61007;1.0;;;;;;2020-01-07
61404;0.2;;;0.0;7.7;4.7;2020-01-07
61345;0.0;;;;;;2020-01-07
61386;0.2;;;;;;2020-01-07
61001;0.6;0.0;4.6;0.0;8.3;2.8;2020-01-07
61169;0.4;;2.6;0.0;8.7;4.4;2020-01-07
61485;0.4;;;0.0;11.5;;2020-01-08
61123;1.0;;;;;;2020-01-08
61345;2.3;;;;;;2020-01-08
61006;1.0;;;0.0;11.9;4.1;2020-01-08
61001;3.0;;10.0;0.0;11.4;3.9;2020-01-08
61169;1.4;;10.4;0.0;11.5;4.6;2020-01-08
61007;1.5;;;;;;2020-01-08
61328;1.5;;9.6;;11.2;;2020-01-08
61404;1.4;;;0.0;10.5;6.3;2020-01-08
61386;2.9;;;;;;2020-01-08
61491;1.0;;;0.0;10.5;;2020-01-08
61328;5.5;;8.9;;11.4;;2020-01-09
61006;2.2;;;0.0;12.0;6.4;2020-01-09
61491;5.6;;;0.0;10.6;;2020-01-09
61404;8.0;;;0.0;10.5;9.4;2020-01-09
61007;7.6;;;;;;2020-01-09
