code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
69007;0.0;;;;;;2020-01-01
69204;0.2;;;750.0;-0.4;;2020-01-01
69141;0.2;;;1079.0;-0.8;;2020-01-01
69135;0.5;;;;3.2;;2020-01-01
69028;0.4;;-2.5;1300.0;-1.3;;2020-01-01
69123;0.0;;;;0.2;;2020-01-01
69123;0.0;;;;1.4;;2020-01-01
69064;0.0;;;;0.6;;2020-01-01
69097;0.0;;;;;;2020-01-01
69036;0.0;;;;;;2020-01-01
69123;0.0;;;;1.5;;2020-01-02
69097;0.0;;;;;;2020-01-02
69007;0.1;;;;;;2020-01-02
69204;0.6;;;1168.0;0.9;;2020-01-02
69064;0.2;;;;1.7;;2020-01-02
69141;0.2;;;1166.0;-1.3;;2020-01-02
69123;0.1;;;;1.4;;2020-01-02
69135;0.2;;;;3.5;;2020-01-02
69028;0.2;;-2.5;;-0.4;;2020-01-02
69036;0.0;;;;;;2020-01-02
69123;0.0;;;;4.2;;2020-01-03
69028;0.6;;;;3.6;;2020-01-03
69036;1.5;;;;;;2020-01-03
69064;0.2;;;;4.7;;2020-01-03
69007;0.5;;;;;;2020-01-03
69135;3.9;;;;6.0;;2020-01-03
69141;0.8;;;270.0;4.5;;2020-01-03
69123;0.6;;;;6.4;;2020-01-03
69097;0.5;;;;;;2020-01-03
69204;0.4;;;0.0;3.8;;2020-01-03
69204;0.4;;;0.0;6.2;;2020-01-04
69135;1.3;;;;5.8;;2020-01-04
69028;0.4;;;0.0;6.1;;2020-01-04
69097;0.0;;;;;;2020-01-04
69007;0.0;;;;;;2020-01-04
69123;0.4;;;;7.5;;2020-01-04
69036;0.0;;;;;;2020-01-04
69123;0.0;;;;6.9;;2020-01-04
69064;0.2;;;;6.7;;2020-01-04
69141;0.6;;;0.0;5.5;;2020-01-04
69036;0.0;;;;;;2020-01-05
69097;0.0;;;;;;2020-01-05
69028;0.0;;;;4.3;;2020-01-05
69007;0.0;;;;;;2020-01-05
69141;0.0;;;305.0;4.4;;2020-01-05
69123;0.0;;;;5.2;;2020-01-05
69064;0.0;;;;6.9;;2020-01-05
69135;0.2;;;;2.0;;2020-01-05
69204;0.0;;;0.0;5.1;;2020-01-05
69123;0.2;;;;4.7;;2020-01-05
69141;0.0;;;701.0;3.6;;2020-01-06
69007;0.0;;;;;;2020-01-06
69123;0.2;;;;3.7;;2020-01-06
69097;1.0;;;;;;2020-01-06
69064;0.2;;;;4.1;;2020-01-06
69036;0.0;;;;;;2020-01-06
69135;0.4;;;;3.5;;2020-01-06
69204;0.2;;;278.0;4.7;;2020-01-06
69028;0.4;;-4.1;510.0;3.5;0.9;2020-01-06
69123;0.2;;;;3.2;;2020-01-06
69064;0.4;;;;6.0;;2020-01-07
69097;0.0;;;;;;2020-01-07
69036;1.5;;;;;;2020-01-07
69123;0.1;;;;5.4;;2020-01-07
69007;0.0;;;;;;2020-01-07
69123;0.7;;;;6.2;;2020-01-07
69141;0.6;;;212.0;4.9;;2020-01-07
69135;0.5;;;;4.5;;2020-01-07
69028;0.8;;-0.9;0.0;5.3;1.2;2020-01-07
69204;0.6;;;0.0;6.0;;2020-01-07
69007;0.0;;;;;;2020-01-08
69064;0.0;;;;7.8;;2020-01-08
69135;0.0;;;;8.0;;2020-01-08
69028;0.2;;5.1;0.0;6.6;0.6;2020-01-08
69141;0.2;;;0.0;6.8;;2020-01-08
69204;0.2;;;0.0;7.1;;2020-01-08
69123;0.0;;;;7.9;;2020-01-08
69036;0.0;;;;;;2020-01-08
69097;0.0;;;;;;2020-01-08
69123;0.1;;;;7.7;;2020-01-08
69123;0.4;;;;9.2;;2020-01-09
69036;0.0;;;;;;2020-01-09
69028;0.6;;1.0;0.0;7.9;3.9;2020-01-09
69007;0.5;;;;;;2020-01-09
69097;0.0;;;;;;2020-01-09
69135;1.5;;;;8.3;;2020-01-09
69064;0.0;;;;8.5;;2020-01-09
69123;0.0;;;;8.3;;2020-01-09
69204;0.8;;;0.0;8.1;;2020-01-09
69141;1.0;;;0.0;8.0;;2020-01-09
69204;0.0;;;0.0;9.8;;2020-01-10
69064;0.0;;;;9.0;;2020-01-10
69141;0.0;;;0.0;8.7;;2020-01-10
69097;0.0;;;;;;2020-01-10
69135;1.0;;;;7.8;;2020-01-10
69007;0.0;;;;;;2020-01-10
