code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
22005;0.0;;6.5;0.0;8.7;0.9;2020-01-01
22282;0.0;;;0.0;7.4;2.0;2020-01-01
22266;0.6;;;0.0;8.2;1.3;2020-01-01
22263;0.3;;;;7.8;;2020-01-01
22243;1.5;;;;;;2020-01-01
22203;0.0;;;;7.8;;2020-01-01
22183;0.5;;;;;;2020-01-01
22171;1.0;;;;;;2020-01-01
22168;0.0;;;0.0;9.4;1.5;2020-01-01
22158;0.5;;;;;;2020-01-01
22138;0.8;;;;7.5;;2020-01-01
22136;0.8;;;;8.3;;2020-01-01
22116;1.4;;;;;;2020-01-01
22115;0.7;;;;;;2020-01-01
22114;0.6;;;;7.4;;2020-01-01
22113;0.2;28.0;;0.0;8.8;1.2;2020-01-01
22108;0.4;;;0.0;8.4;;2020-01-01
22093;0.3;;;;;;2020-01-01
22092;0.2;;6.0;0.0;7.5;1.6;2020-01-01
22081;0.0;;;;;;2020-01-01
22052;0.4;;;;8.9;;2020-01-01
22046;0.2;;;;7.4;;2020-01-01
22294;0.4;;;;7.6;;2020-01-01
22334;0.7;;;;;;2020-01-01
22032;0.5;;;;7.2;;2020-01-01
22334;1.2;;;;;;2020-01-02
22263;0.1;;;;9.7;;2020-01-02
22092;0.8;;6.5;0.0;8.8;5.1;2020-01-02
22243;1.8;;;;;;2020-01-02
22093;0.6;;;;;;2020-01-02
22052;1.5;;;;9.5;;2020-01-02
22282;0.0;;;0.0;10.2;3.5;2020-01-02
22203;1.0;;;;9.3;;2020-01-02
22108;0.0;;;0.0;10.0;;2020-01-02
22183;1.6;;;;;;2020-01-02
22113;0.4;84.0;;0.0;10.4;4.5;2020-01-02
22081;0.0;;;;;;2020-01-02
22171;0.0;;;;;;2020-01-02
22114;0.4;;;;9.4;;2020-01-02
22046;1.6;;;;9.2;;2020-01-02
22266;0.6;;;0.0;8.9;5.5;2020-01-02
22294;0.6;;;;8.7;;2020-01-02
22168;0.4;;;0.0;10.9;4.7;2020-01-02
22115;1.2;;;;;;2020-01-02
22136;0.6;;;;9.5;;2020-01-02
22158;1.4;;;;;;2020-01-02
22005;0.0;;6.7;0.0;9.7;4.2;2020-01-02
22116;0.3;;;;;;2020-01-02
22138;1.4;;;;8.7;;2020-01-02
22032;0.5;;;;9.7;;2020-01-02
22081;0.0;;;;;;2020-01-03
22263;0.2;;;;10.6;;2020-01-03
22136;0.1;;;;9.4;;2020-01-03
22092;0.4;;4.5;0.0;7.5;4.9;2020-01-03
22243;0.9;;;;;;2020-01-03
22138;1.1;;;;7.6;;2020-01-03
22116;1.0;;;;;;2020-01-03
22203;0.3;;;;8.7;;2020-01-03
22168;0.2;;;0.0;9.7;5.8;2020-01-03
22108;1.0;;;0.0;8.9;;2020-01-03
22183;0.3;;;;;;2020-01-03
22158;0.3;;;;;;2020-01-03
22113;1.6;214.0;;0.0;9.5;5.0;2020-01-03
22115;0.8;;;;;;2020-01-03
22114;0.4;;;;9.5;;2020-01-03
22093;0.4;;;;;;2020-01-03
22171;1.0;;;;;;2020-01-03
22334;0.3;;;;;;2020-01-03
22052;0.3;;;;9.0;;2020-01-03
22005;0.6;;4.8;0.0;8.7;3.3;2020-01-03
22032;0.1;;;;9.8;;2020-01-03
22046;1.0;;;;8.6;;2020-01-03
22294;0.3;;;;7.0;;2020-01-03
22282;0.2;;;0.0;10.5;6.3;2020-01-03
22266;1.0;;;0.0;8.0;4.2;2020-01-03
22108;0.2;;;7.0;5.2;;2020-01-04
22282;0.0;;;0.0;8.6;4.0;2020-01-04
22046;0.0;;;;6.2;;2020-01-04
22171;0.0;;;;;;2020-01-04
22052;0.0;;;;3.9;;2020-01-04
22116;0.2;;;;;;2020-01-04
