code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
14047;0.2;;;0.0;6.2;;2020-01-01
14239;0.6;;;0.0;5.8;;2020-01-01
14277;0.5;;;;;;2020-01-01
14366;0.4;;;0.0;4.4;;2020-01-01
14431;1.0;;;;;;2020-01-01
14066;0.0;;;0.0;5.0;1.7;2020-01-01
14515;0.4;;;;;1.7;2020-01-01
14659;0.6;;;0.0;4.4;;2020-01-01
14277;0.2;;;;;;2020-01-02
14366;0.2;;;0.0;8.7;;2020-01-02
14431;0.5;;;;;;2020-01-02
14239;0.0;;;0.0;8.6;;2020-01-02
14515;0.2;;;;;5.0;2020-01-02
14659;0.2;;;0.0;8.0;;2020-01-02
14066;0.8;;;0.0;8.4;3.4;2020-01-02
14047;0.2;;;;9.0;;2020-01-02
14239;0.8;;;0.0;9.9;;2020-01-03
14431;0.7;;;;;;2020-01-03
14066;0.0;;;0.0;10.5;6.0;2020-01-03
14659;0.4;;;0.0;9.5;;2020-01-03
14366;0.8;;;0.0;9.2;;2020-01-03
14277;0.3;;;;;;2020-01-03
14047;0.8;;;;8.5;;2020-01-03
14515;1.1;;;;;7.5;2020-01-03
14047;0.4;;;;6.5;;2020-01-04
14431;0.0;;;;;;2020-01-04
14239;0.6;;;0.0;6.2;;2020-01-04
14066;0.0;;;0.0;6.6;3.7;2020-01-04
14515;0.2;;;;;4.5;2020-01-04
14659;0.0;;;0.0;6.0;;2020-01-04
14366;0.2;;;0.0;5.0;;2020-01-04
14277;0.3;;;;;;2020-01-04
14515;0.0;;;;;3.4;2020-01-05
14047;0.0;;;;6.8;;2020-01-05
14277;0.2;;;;;;2020-01-05
14066;0.0;;;0.0;7.0;2.3;2020-01-05
14366;0.0;;;0.0;7.5;;2020-01-05
14659;0.2;;;0.0;6.9;;2020-01-05
14431;0.2;;;;;;2020-01-05
14239;0.0;;;0.0;7.4;;2020-01-05
14066;1.4;;;2.0;4.5;3.3;2020-01-06
14515;0.1;;;;;4.7;2020-01-06
14431;1.3;;;;;;2020-01-06
14366;1.2;;;264.0;4.0;;2020-01-06
14277;1.2;;;;;;2020-01-06
14047;0.8;;;;5.4;;2020-01-06
14239;1.2;;;0.0;5.2;;2020-01-06
14659;1.2;;;50.0;3.7;;2020-01-06
14659;0.0;;;0.0;9.0;;2020-01-07
14431;0.2;;;;;;2020-01-07
14277;0.1;;;;;;2020-01-07
