code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
17004;6.8;;;;;;2020-01-01
17415;3.0;;;0.0;9.3;2.6;2020-01-01
17353;4.5;;6.7;;9.6;;2020-01-01
17339;1.8;;5.9;0.0;9.7;2.4;2020-01-01
17323;1.0;;;0.0;10.6;3.9;2020-01-01
17318;0.8;;;;;4.5;2020-01-01
17093;3.0;;;0.0;10.5;;2020-01-01
17308;2.4;331.0;;0.0;9.1;2.8;2020-01-01
17306;2.2;;;0.0;10.1;3.6;2020-01-01
17053;4.8;;;;;;2020-01-01
17303;3.6;;;;;;2020-01-01
17268;8.6;;;0.0;7.9;2.3;2020-01-01
17253;4.4;;;;;;2020-01-01
17248;0.8;;;0.0;10.4;;2020-01-01
17111;3.5;;;;;;2020-01-01
17243;0.4;;;0.0;9.0;;2020-01-01
17236;2.1;;;;;;2020-01-01
17226;7.1;;;;;;2020-01-01
17224;3.8;;;0.0;7.9;;2020-01-01
17300;1.6;29.0;;0.0;9.9;2.8;2020-01-01
17477;3.4;;;0.0;7.0;;2020-01-01
17218;1.6;;;0.0;9.2;;2020-01-01
17477;0.2;;;0.0;9.0;;2020-01-02
17093;0.8;;;0.0;10.3;;2020-01-02
17253;3.5;;;;;;2020-01-02
17224;0.2;;;0.0;9.6;;2020-01-02
17248;0.0;;;0.0;10.4;;2020-01-02
17004;1.5;;;;;;2020-01-02
17415;0.6;;;0.0;10.4;2.0;2020-01-02
17308;1.2;197.0;;0.0;10.2;1.9;2020-01-02
17339;0.0;;5.4;0.0;9.1;1.9;2020-01-02
17236;0.4;;;;;;2020-01-02
17306;1.0;;;0.0;9.6;3.2;2020-01-02
17226;2.1;;;;;;2020-01-02
17303;0.3;;;;;;2020-01-02
17218;0.8;;;0.0;10.2;;2020-01-02
17300;0.6;105.0;;0.0;11.1;3.5;2020-01-02
17111;0.9;;;;;;2020-01-02
17323;0.4;;;0.0;11.0;4.7;2020-01-02
17053;2.5;;;;;;2020-01-02
17268;1.0;;;0.0;9.7;2.0;2020-01-02
17318;0.4;;;;;6.2;2020-01-02
17243;0.0;;;0.0;8.9;;2020-01-02
17353;1.0;;4.3;;9.6;;2020-01-02
17477;5.8;;;0.0;9.8;;2020-01-03
17253;2.2;;;;;;2020-01-03
17224;1.8;;;0.0;10.1;;2020-01-03
17353;2.5;;3.1;;10.2;;2020-01-03
17236;3.5;;;;;;2020-01-03
17218;0.2;;;0.0;11.0;;2020-01-03
17306;1.6;;;0.0;10.3;4.6;2020-01-03
17268;3.6;;;0.0;9.5;2.9;2020-01-03
17303;2.2;;;;;;2020-01-03
17004;2.4;;;;;;2020-01-03
17339;2.4;;3.6;0.0;9.4;2.8;2020-01-03
17243;2.8;;;0.0;7.6;;2020-01-03
17248;1.8;;;0.0;10.2;;2020-01-03
17226;0.8;;;;;;2020-01-03
17323;0.8;;;0.0;11.3;7.3;2020-01-03
17318;0.1;;;;;9.0;2020-01-03
17300;1.4;113.0;;0.0;11.8;5.3;2020-01-03
17053;0.6;;;;;;2020-01-03
17415;3.6;;;0.0;10.1;3.0;2020-01-03
17093;1.4;;;0.0;11.2;;2020-01-03
17111;2.0;;;;;;2020-01-03
17308;1.2;155.0;;0.0;10.5;4.2;2020-01-03
17303;0.0;;;;;;2020-01-04
17226;0.0;;;;;;2020-01-04
17218;0.2;;;0.0;7.2;;2020-01-04
17253;0.0;;;;;;2020-01-04
17053;0.1;;;;;;2020-01-04
17224;0.0;;;0.0;8.0;;2020-01-04
17300;0.2;0.0;;0.0;7.2;3.1;2020-01-04
17323;0.0;;;0.0;8.5;5.3;2020-01-04
17268;0.0;;;0.0;7.4;1.8;2020-01-04
17477;0.2;;;0.0;7.0;;2020-01-04
17248;0.2;;;0.0;8.6;;2020-01-04
17353;0.0;;-0.1;;7.2;;2020-01-04
17306;0.0;;;0.0;8.4;3.1;2020-01-04
17308;0.2;0.0;;0.0;7.4;2.8;2020-01-04
17004;0.3;;;;;;2020-01-04
17236;0.0;;;;;;2020-01-04
17415;0.0;;;0.0;7.7;2.4;2020-01-04
17339;0.2;;2.0;0.0;7.4;2.6;2020-01-04
17243;0.2;;;90.0;6.9;;2020-01-04
17111;0.0;;;;;;2020-01-04
17318;0.6;;;;;3.7;2020-01-04
17093;0.0;;;0.0;8.4;;2020-01-04
17053;0.4;;;;;;2020-01-05
17308;0.2;0.0;;0.0;4.9;3.1;2020-01-05
17226;0.5;;;;;;2020-01-05
17353;0.0;;-1.9;;5.0;;2020-01-05
17218;0.2;;;0.0;5.2;;2020-01-05
17243;0.2;;;11.0;4.4;;2020-01-05
17004;0.3;;;;;;2020-01-05
17093;0.0;;;0.0;6.6;;2020-01-05
17300;0.0;0.0;;0.0;4.9;3.4;2020-01-05
17318;0.2;;;;;4.0;2020-01-05
17306;0.0;;;0.0;5.2;3.1;2020-01-05
17415;0.2;;;0.0;4.9;2.3;2020-01-05
17323;0.0;;;0.0;7.6;4.7;2020-01-05
17111;0.0;;;;;;2020-01-05
17236;0.0;;;;;;2020-01-05
17253;0.5;;;;;;2020-01-05
17248;0.0;;;0.0;5.9;;2020-01-05
17224;0.2;;;342.0;4.7;;2020-01-05
17268;0.2;;;211.0;4.1;2.4;2020-01-05
17303;0.0;;;;;;2020-01-05
17339;0.0;;-4.0;122.0;4.2;2.5;2020-01-05
17477;0.2;;;0.0;5.0;;2020-01-05
17477;0.2;;;134.0;3.3;;2020-01-06
17306;0.8;;;36.0;4.2;3.3;2020-01-06
17308;0.0;184.0;;36.0;4.4;2.3;2020-01-06
17415;0.2;;;0.0;3.9;2.4;2020-01-06
17303;1.0;;;;;;2020-01-06
17224;0.2;;;306.0;3.0;;2020-01-06
17226;1.0;;;;;;2020-01-06
17093;1.8;;;0.0;7.2;;2020-01-06
17353;1.0;;-4.3;;4.4;;2020-01-06
17243;0.6;;;339.0;2.2;;2020-01-06
17300;3.0;267.0;;0.0;5.9;4.2;2020-01-06
17236;0.9;;;;;;2020-01-06
17111;0.0;;;;;;2020-01-06
17053;1.5;;;;;;2020-01-06
17339;0.2;;-2.4;163.0;2.8;2.3;2020-01-06
17004;1.9;;;;;;2020-01-06
17253;2.3;;;;;;2020-01-06
17248;0.2;;;114.0;3.3;;2020-01-06
17318;1.8;;;;;5.3;2020-01-06
17218;1.0;;;10.0;4.8;;2020-01-06
17323;0.6;;;0.0;6.9;4.4;2020-01-06
17268;0.2;;;88.0;3.4;1.7;2020-01-06
17253;2.1;;;;;;2020-01-07
17236;1.7;;;;;;2020-01-07
17224;1.6;;;0.0;7.7;;2020-01-07
17353;3.0;;4.5;;9.0;;2020-01-07
17415;0.4;;;0.0;8.6;1.9;2020-01-07
17218;1.6;;;0.0;9.5;;2020-01-07
17308;1.2;435.0;;0.0;8.9;2.3;2020-01-07
17477;2.4;;;0.0;7.3;;2020-01-07
17093;1.4;;;0.0;9.6;;2020-01-07
17248;2.6;;;0.0;8.0;;2020-01-07
17226;1.9;;;;;;2020-01-07
17303;2.3;;;;;;2020-01-07
17339;1.6;;3.9;0.0;7.9;2.0;2020-01-07
17004;2.3;;;;;;2020-01-07
17306;0.0;;;0.0;8.8;3.3;2020-01-07
17111;2.0;;;;;;2020-01-07
17268;2.0;;;0.0;8.1;1.9;2020-01-07
17300;2.2;242.0;;0.0;9.8;3.1;2020-01-07
17243;2.0;;;0.0;7.5;;2020-01-07
17323;0.8;;;0.0;10.7;4.2;2020-01-07
17053;1.6;;;;;;2020-01-07
17318;0.9;;;;;5.4;2020-01-07
17004;0.2;;;;;;2020-01-08
17218;0.8;;;0.0;11.6;;2020-01-08
17323;1.0;;;0.0;11.5;5.4;2020-01-08
17318;1.9;;;;;6.1;2020-01-08
17339;0.2;;6.0;0.0;10.7;1.9;2020-01-08
17303;1.0;;;;;;2020-01-08
17253;0.1;;;;;;2020-01-08
17111;0.0;;;;;;2020-01-08
17236;0.0;;;;;;2020-01-08
17300;1.4;160.0;;0.0;11.2;4.2;2020-01-08
17353;0.0;;8.9;;11.1;;2020-01-08
17243;0.2;;;0.0;10.5;;2020-01-08
17248;0.0;;;0.0;10.5;;2020-01-08
17226;0.8;;;;;;2020-01-08
17268;0.0;;;0.0;11.7;2.1;2020-01-08
17224;0.0;;;0.0;11.6;;2020-01-08
