code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
55014;0.6;;;20.0;0.7;;2020-01-01
55248;0.0;;-2.3;1373.0;-0.9;2.7;2020-01-01
55123;0.0;;;118.0;1.4;;2020-01-01
55060;0.0;;;601.0;-1.1;;2020-01-01
55041;0.2;;;332.0;1.1;;2020-01-01
55364;0.2;;;291.0;0.8;2.1;2020-01-01
55364;1.4;;;269.0;3.6;3.0;2020-01-02
55123;1.0;;;0.0;3.2;;2020-01-02
55041;1.0;;;0.0;3.0;;2020-01-02
55060;0.2;;;303.0;3.2;;2020-01-02
55248;0.0;;-1.1;304.0;1.7;3.1;2020-01-02
55014;1.8;;;0.0;3.7;;2020-01-02
55014;2.2;;;0.0;7.7;;2020-01-03
55123;2.8;;;0.0;7.0;;2020-01-03
55041;2.4;;;0.0;6.7;;2020-01-03
55248;3.6;;2.6;0.0;5.2;5.2;2020-01-03
55364;2.0;;;0.0;7.6;5.3;2020-01-03
55060;1.0;;;0.0;7.3;;2020-01-03
55248;0.0;;2.0;0.0;3.9;3.0;2020-01-04
55123;0.0;;;0.0;5.0;;2020-01-04
55014;0.0;;;0.0;4.6;;2020-01-04
55364;0.0;;;13.0;2.9;1.7;2020-01-04
55041;0.0;;;0.0;4.8;;2020-01-04
55060;0.0;;;0.0;4.6;;2020-01-04
55364;0.0;;;0.0;4.8;0.2;2020-01-05
55123;0.0;;;28.0;5.0;;2020-01-05
55060;0.0;;;18.0;4.8;;2020-01-05
55014;0.0;;;91.0;5.0;;2020-01-05
55248;0.0;;-3.1;223.0;2.7;1.5;2020-01-05
55041;0.2;;;72.0;4.0;;2020-01-05
55123;0.6;;;71.0;4.3;;2020-01-06
55248;0.4;;-3.7;443.0;1.9;3.5;2020-01-06
55060;0.2;;;989.0;1.2;;2020-01-06
55014;1.4;;;534.0;2.0;;2020-01-06
55364;0.4;;;815.0;0.9;1.5;2020-01-06
55041;1.4;;;15.0;4.0;;2020-01-06
55041;0.2;;;0.0;5.4;;2020-01-07
55123;0.2;;;0.0;5.5;;2020-01-07
55248;0.0;;-0.5;0.0;3.0;2.9;2020-01-07
55060;0.0;;;0.0;3.0;;2020-01-07
55364;0.8;;;0.0;3.3;2.6;2020-01-07
55014;0.0;;;0.0;4.8;;2020-01-07
55014;7.0;;;0.0;7.8;;2020-01-08
55041;3.0;;;0.0;6.9;;2020-01-08
55248;2.4;;0.6;0.0;5.3;4.0;2020-01-08
55123;1.8;;;0.0;7.0;;2020-01-08
55060;0.2;;;0.0;6.7;;2020-01-08
55364;4.4;;;0.0;8.0;3.2;2020-01-08
55041;3.0;;;0.0;10.1;;2020-01-09
55248;3.4;;6.8;0.0;8.4;4.9;2020-01-09
55123;1.8;;;0.0;10.6;;2020-01-09
55364;7.0;;;0.0;10.9;6.1;2020-01-09
55060;2.2;;;0.0;11.2;;2020-01-09
55014;4.8;;;0.0;10.9;;2020-01-09
55041;2.8;;;0.0;6.8;;2020-01-10
55248;4.8;;4.6;0.0;6.3;4.8;2020-01-10
55364;1.2;;;0.0;7.6;4.2;2020-01-10
55123;1.4;;;0.0;7.0;;2020-01-10
55014;1.4;;;0.0;7.4;;2020-01-10
55060;0.8;;;0.0;7.9;;2020-01-10
55041;0.0;;;0.0;4.4;;2020-01-11
55248;0.0;;0.3;0.0;4.0;1.6;2020-01-11
55060;0.0;;;0.0;4.1;;2020-01-11
55364;0.0;;;18.0;4.8;1.8;2020-01-11
55014;0.0;;;31.0;4.2;;2020-01-11
55123;0.0;;;0.0;4.3;;2020-01-11
55014;1.4;;;0.0;3.0;;2020-01-12
55041;0.2;;;0.0;3.0;;2020-01-12
55123;0.2;;;0.0;3.0;;2020-01-12
55060;0.2;;;0.0;3.4;;2020-01-12
55248;0.2;;-1.8;389.0;1.9;3.8;2020-01-12
55364;1.0;;;11.0;3.2;3.9;2020-01-12
55123;0.2;;;0.0;6.6;;2020-01-13
55248;0.0;;3.7;0.0;5.3;4.3;2020-01-13
55364;2.0;;;0.0;7.5;4.3;2020-01-13
55041;0.2;;;0.0;6.4;;2020-01-13
55014;1.6;;;0.0;7.1;;2020-01-13
55060;0.0;;;0.0;7.1;;2020-01-13
55364;4.2;;;0.0;9.7;8.1;2020-01-14
55041;0.2;;;0.0;8.4;;2020-01-14
55014;0.2;;;0.0;9.3;;2020-01-14
55123;0.2;;;0.0;8.5;;2020-01-14
55060;0.0;;;0.0;9.0;;2020-01-14
55248;0.0;;3.4;0.0;7.0;6.0;2020-01-14
55248;0.2;;4.4;0.0;8.9;5.6;2020-01-15
