code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
43004;0.0;;;;;;2020-01-01
43037;0.0;;;;;;2020-01-01
43244;0.0;;;980.0;1.7;;2020-01-01
43241;0.0;;;;1.4;;2020-01-01
43040;0.2;;;;;;2020-01-01
43046;0.0;;;865.0;2.1;0.8;2020-01-01
43212;0.0;;;;4.6;;2020-01-01
43162;0.0;;;967.0;2.6;;2020-01-01
43246;0.0;;;875.0;3.6;;2020-01-01
43091;0.0;;;0.0;5.7;;2020-01-01
43093;0.0;;;990.0;1.0;;2020-01-01
43137;0.0;;;355.0;4.0;2.2;2020-01-01
43130;0.0;;;67.0;5.4;1.2;2020-01-01
43095;0.0;;-4.9;118.0;3.7;1.1;2020-01-01
43130;0.0;;;;;;2020-01-01
43118;0.2;;;949.0;2.2;;2020-01-01
43096;0.0;;;936.0;2.6;1.2;2020-01-01
43150;0.0;;;594.0;3.3;;2020-01-01
43020;0.2;;;1015.0;2.0;;2020-01-01
43111;0.0;;;821.0;3.2;1.7;2020-01-01
43037;0.3;;;;;;2020-01-02
43040;0.1;;;;;;2020-01-02
43137;0.0;;;445.0;3.4;2.4;2020-01-02
43244;0.2;;;549.0;1.3;;2020-01-02
43096;0.0;;;526.0;4.1;1.9;2020-01-02
43004;0.0;;;;;;2020-01-02
43212;0.0;;;;3.2;;2020-01-02
43118;0.2;;;926.0;1.8;;2020-01-02
43020;0.0;;;997.0;1.0;;2020-01-02
43046;0.0;;;649.0;1.2;1.2;2020-01-02
43246;0.2;;;544.0;3.0;;2020-01-02
43093;0.0;;;969.0;1.6;;2020-01-02
43091;0.0;;;0.0;3.5;;2020-01-02
43095;0.0;;-6.0;376.0;4.0;1.5;2020-01-02
43111;0.0;;;333.0;2.1;4.2;2020-01-02
43241;0.0;;;;1.9;;2020-01-02
43130;0.0;;;302.0;2.9;2.5;2020-01-02
43130;0.0;;;;;;2020-01-02
43162;0.2;;;760.0;1.9;;2020-01-02
43150;0.0;;;353.0;3.4;;2020-01-02
43244;0.2;;;275.0;2.9;;2020-01-03
43241;0.5;;;;2.0;;2020-01-03
43004;0.0;;;;;;2020-01-03
43130;0.0;;;0.0;4.1;4.9;2020-01-03
43246;0.0;;;0.0;5.5;;2020-01-03
43111;0.2;;;0.0;3.6;3.2;2020-01-03
43095;0.0;;0.3;0.0;4.2;2.5;2020-01-03
43118;0.0;;;493.0;3.9;;2020-01-03
43096;0.0;;;0.0;5.1;1.5;2020-01-03
43046;0.0;;;265.0;3.2;1.2;2020-01-03
43162;0.0;;;527.0;4.3;;2020-01-03
43037;0.0;;;;;;2020-01-03
43150;0.0;;;0.0;5.3;;2020-01-03
43130;1.2;;;;;;2020-01-03
43091;0.4;;;0.0;3.5;;2020-01-03
43093;0.2;;;223.0;2.4;;2020-01-03
43040;0.2;;;;;;2020-01-03
