code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
33042;0.2;;;;;;2020-01-01
33494;0.5;;;;;;2020-01-01
33529;0.0;0.0;8.8;0.0;10.1;2.6;2020-01-01
33484;0.2;;;;;;2020-01-01
33415;0.6;;4.3;0.0;9.6;1.9;2020-01-01
33314;0.4;;4.2;0.0;10.0;2.5;2020-01-01
33289;0.0;;;;5.5;;2020-01-01
33281;0.0;24.0;3.7;0.0;9.4;2.6;2020-01-01
33236;0.0;;;;;;2020-01-01
33236;0.4;;;0.0;11.5;4.8;2020-01-01
33214;0.0;;;0.0;10.2;;2020-01-01
33550;0.0;;4.3;;9.3;;2020-01-01
33122;0.0;;6.8;;9.6;;2020-01-01
33095;0.0;;;;8.0;;2020-01-01
33042;0.0;;5.4;0.0;9.5;2.2;2020-01-01
33080;0.0;;3.9;;9.0;;2020-01-01
33077;0.1;;;;;;2020-01-01
33063;0.0;;;0.0;9.9;;2020-01-01
33504;0.0;;;0.0;9.1;;2020-01-01
33522;0.3;;;;10.0;;2020-01-01
33051;0.1;;;;;;2020-01-01
33122;0.0;;2.2;;7.6;;2020-01-02
33504;0.0;;;0.0;7.0;;2020-01-02
33077;0.0;;;;;;2020-01-02
33051;0.3;;;;;;2020-01-02
33522;0.1;;;;6.2;;2020-01-02
33281;0.0;0.0;3.9;0.0;8.6;2.3;2020-01-02
33042;0.3;;;;;;2020-01-02
33063;0.0;;;0.0;9.2;;2020-01-02
33494;0.3;;;;;;2020-01-02
33529;0.0;11.0;1.5;0.0;8.0;1.7;2020-01-02
33236;0.0;;;;;;2020-01-02
33080;0.0;;2.9;;7.7;;2020-01-02
33484;0.2;;;;;;2020-01-02
33314;0.0;;4.4;0.0;9.4;2.5;2020-01-02
33236;0.0;;;0.0;9.6;3.3;2020-01-02
33415;0.0;;4.8;0.0;9.0;1.9;2020-01-02
33214;0.2;;;0.0;9.2;;2020-01-02
33095;0.1;;;;6.5;;2020-01-02
33289;0.0;;;;6.8;;2020-01-02
33550;0.0;;1.7;;8.3;;2020-01-02
33042;0.0;;-1.4;0.0;7.3;2.2;2020-01-02
33550;0.0;;2.0;;8.4;;2020-01-03
33077;1.6;;;;;;2020-01-03
33415;1.4;;2.1;0.0;9.3;1.9;2020-01-03
33063;1.2;;;0.0;9.2;;2020-01-03
33214;1.4;;;0.0;9.3;;2020-01-03
33281;1.6;224.0;0.3;0.0;8.7;3.0;2020-01-03
33080;0.0;;1.3;;8.0;;2020-01-03
33122;0.0;;1.6;;8.7;;2020-01-03
33504;1.5;;;0.0;7.9;;2020-01-03
33289;0.9;;;;6.8;;2020-01-03
33095;0.6;;;;8.5;;2020-01-03
33042;0.6;;;;;;2020-01-03
33314;1.2;;4.1;0.0;10.5;3.3;2020-01-03
33484;0.5;;;;;;2020-01-03
33042;0.6;;-0.1;0.0;7.7;2.4;2020-01-03
33236;0.6;;;0.0;10.1;5.9;2020-01-03
33522;1.3;;;;9.0;;2020-01-03
33051;0.7;;;;;;2020-01-03
33236;1.5;;;;;;2020-01-03
33529;1.0;89.0;-0.4;0.0;8.9;2.3;2020-01-03
33494;2.5;;;;;;2020-01-03
33042;0.0;;;;;;2020-01-04
33550;0.0;;4.2;;8.7;;2020-01-04
33051;0.3;;;;;;2020-01-04
33289;0.0;;;;7.5;;2020-01-04
33214;0.2;;;0.0;7.7;;2020-01-04
33236;0.0;;;0.0;8.4;3.3;2020-01-04
33077;0.0;;;;;;2020-01-04
33042;0.2;;-0.8;0.0;7.6;1.8;2020-01-04
33415;0.0;;-0.5;0.0;8.2;1.6;2020-01-04
33122;0.0;;1.5;;7.3;;2020-01-04
33484;0.3;;;;;;2020-01-04
33529;0.0;0.0;2.0;0.0;8.0;2.1;2020-01-04
33236;0.0;;;;;;2020-01-04
33080;0.0;;2.8;;7.8;;2020-01-04
33504;0.5;;;0.0;8.2;;2020-01-04
33281;0.0;0.0;3.2;0.0;8.2;2.1;2020-01-04
33063;0.0;;;0.0;8.7;;2020-01-04
33314;0.0;;4.5;0.0;8.7;2.3;2020-01-04
33494;0.0;;;;;;2020-01-04
33522;0.0;;;;9.0;;2020-01-04
33095;0.0;;;;7.5;;2020-01-04
33042;0.2;;-6.2;455.0;3.5;1.7;2020-01-05
33095;0.1;;;;4.5;;2020-01-05
33236;0.0;;;;;;2020-01-05
33484;0.1;;;;;;2020-01-05
33522;0.0;;;;7.6;;2020-01-05
33077;0.0;;;;;;2020-01-05
33042;0.2;;;;;;2020-01-05
33214;0.0;;;0.0;4.9;;2020-01-05
33281;0.0;0.0;-4.8;13.0;4.6;1.6;2020-01-05
33080;0.0;;-4.0;;3.9;;2020-01-05
33236;0.0;;;0.0;6.0;3.4;2020-01-05
33504;0.0;;;99.0;4.0;;2020-01-05
33122;0.0;;-5.1;;3.6;;2020-01-05
33415;0.4;;-4.7;275.0;4.9;1.5;2020-01-05
33289;0.7;;;;3.3;;2020-01-05
33314;0.2;;-4.0;0.0;5.6;2.7;2020-01-05
