code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
24037;0.2;91.0;0.3;0.0;6.4;1.7;2020-01-01
24152;0.0;;;0.0;6.3;;2020-01-01
24455;0.0;;;;6.4;;2020-01-01
24294;0.9;;;;7.6;;2020-01-01
24376;0.6;;;;7.5;;2020-01-01
24335;0.2;;;;;;2020-01-01
24372;0.6;;;;;;2020-01-01
24064;0.8;;;0.0;6.0;;2020-01-01
24547;0.2;;;0.0;5.2;;2020-01-01
24138;0.6;;;0.0;5.9;3.0;2020-01-01
24455;0.0;;;;9.2;;2020-01-02
24547;0.0;;;0.0;7.4;;2020-01-02
24372;0.1;;;;;;2020-01-02
24064;0.0;;;0.0;8.8;;2020-01-02
24138;0.0;;;0.0;7.9;3.2;2020-01-02
24335;0.1;;;;;;2020-01-02
24376;0.3;;;;9.0;;2020-01-02
24294;0.2;;;;8.2;;2020-01-02
24037;0.0;0.0;-1.2;0.0;6.7;1.8;2020-01-02
24152;0.0;;;0.0;7.2;;2020-01-02
24138;2.6;;;0.0;7.2;2.7;2020-01-03
24335;1.4;;;;;;2020-01-03
24376;1.4;;;;7.3;;2020-01-03
24547;5.0;;;0.0;5.4;;2020-01-03
24294;1.4;;;;7.3;;2020-01-03
24152;2.0;;;0.0;5.1;;2020-01-03
24455;1.8;;;;8.3;;2020-01-03
24064;3.8;;;0.0;5.7;;2020-01-03
24037;0.8;156.0;-0.4;0.0;6.2;1.5;2020-01-03
24372;2.6;;;;;;2020-01-03
24455;0.0;;;;7.7;;2020-01-04
24294;0.0;;;;7.4;;2020-01-04
24064;0.2;;;35.0;8.2;;2020-01-04
24547;0.0;;;70.0;7.8;;2020-01-04
24335;0.3;;;;;;2020-01-04
24372;0.2;;;;;;2020-01-04
24138;0.6;;;0.0;6.8;2.2;2020-01-04
24376;0.0;;;;8.3;;2020-01-04
24037;0.2;4.0;0.3;118.0;7.5;1.8;2020-01-04
24152;0.2;;;0.0;7.9;;2020-01-04
24138;0.0;;;0.0;4.7;1.8;2020-01-05
24064;0.2;;;655.0;4.4;;2020-01-05
24376;0.0;;;;5.3;;2020-01-05
24372;0.2;;;;;;2020-01-05
24037;0.0;0.0;-5.5;863.0;3.4;0.8;2020-01-05
24335;0.0;;;;;;2020-01-05
24294;0.1;;;;3.5;;2020-01-05
24152;0.2;;;717.0;2.8;;2020-01-05
24455;0.0;;;;4.3;;2020-01-05
24547;0.2;;;788.0;4.1;;2020-01-05
24294;0.0;;;;2.6;;2020-01-06
24037;0.0;5.0;-4.9;611.0;3.3;1.6;2020-01-06
24138;0.4;;;78.0;4.2;2.4;2020-01-06
24152;0.2;;;607.0;4.9;;2020-01-06
24376;0.0;;;;1.8;;2020-01-06
24064;0.4;;;556.0;4.3;;2020-01-06
24372;0.1;;;;;;2020-01-06
24455;0.0;;;;4.0;;2020-01-06
24335;0.4;;;;;;2020-01-06
24547;0.2;;;601.0;5.0;;2020-01-06
24547;2.6;;;0.0;4.8;;2020-01-07
24455;2.5;;;;5.9;;2020-01-07
24138;1.4;;;0.0;5.9;2.0;2020-01-07
24335;0.2;;;;;;2020-01-07
24064;3.2;;;0.0;5.2;;2020-01-07
24037;0.2;90.0;-1.7;0.0;5.3;1.4;2020-01-07
24152;0.6;;;0.0;5.9;;2020-01-07
24294;0.2;;;;6.2;;2020-01-07
24372;2.1;;;;;;2020-01-07
24376;1.7;;;;6.0;;2020-01-07
24372;0.2;;;;;;2020-01-08
24037;0.2;0.0;4.2;0.0;11.7;1.4;2020-01-08
24152;0.4;;;0.0;9.7;;2020-01-08
24064;0.2;;;0.0;9.7;;2020-01-08
24294;0.0;;;;11.1;;2020-01-08
24455;0.0;;;;11.6;;2020-01-08
24138;0.4;;;0.0;10.6;1.5;2020-01-08
24547;0.2;;;0.0;9.9;;2020-01-08
24335;0.0;;;;;;2020-01-08
24376;0.0;;;;11.8;;2020-01-08
24294;6.2;;;;10.3;;2020-01-09
24064;4.8;;;0.0;9.2;;2020-01-09
24372;5.2;;;;;;2020-01-09
24335;3.2;;;;;;2020-01-09
24376;5.2;;;;10.3;;2020-01-09
24152;4.0;;;0.0;8.8;;2020-01-09
24037;2.8;237.0;1.4;0.0;9.0;3.1;2020-01-09
24547;4.0;;;0.0;9.3;;2020-01-09
24455;5.0;;;;9.7;;2020-01-09
24138;4.4;;;0.0;9.1;4.3;2020-01-09
24064;0.2;;;0.0;7.0;;2020-01-10
24037;0.0;25.0;-0.2;0.0;7.9;3.0;2020-01-10
24138;0.0;;;0.0;7.4;3.1;2020-01-10
24547;0.0;;;0.0;8.1;;2020-01-10
24152;0.4;;;0.0;8.4;;2020-01-10
24335;0.0;;;;;;2020-01-10
24455;0.0;;;;7.7;;2020-01-10
24372;0.2;;;;;;2020-01-10
24376;0.0;;;;9.3;;2020-01-10
24294;0.0;;;;8.5;;2020-01-10
24064;0.2;;;564.0;4.2;;2020-01-11
24372;0.1;;;;;;2020-01-11
24376;0.4;;;;5.3;;2020-01-11
24138;0.2;;;0.0;5.0;1.1;2020-01-11
24455;0.0;;;;5.1;;2020-01-11
24037;0.0;1.0;-2.1;261.0;5.6;1.2;2020-01-11
24294;0.1;;;;6.8;;2020-01-11
24335;0.3;;;;;;2020-01-11
24547;0.2;;;408.0;5.1;;2020-01-11
24152;0.2;;;475.0;4.0;;2020-01-11
24294;0.0;;;;3.4;;2020-01-12
24138;0.2;;;121.0;3.9;2.0;2020-01-12
24152;0.2;;;707.0;1.6;;2020-01-12
24547;0.2;;;702.0;1.2;;2020-01-12
24335;0.0;;;;;;2020-01-12
24037;0.0;0.0;-6.2;584.0;3.1;1.7;2020-01-12
24455;0.4;;;;3.6;;2020-01-12
24376;0.0;;;;3.3;;2020-01-12
24372;0.2;;;;;;2020-01-12
