code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
37119;4.8;;;0.0;7.4;;2020-01-01
37214;1.2;;;;;;2020-01-01
37023;6.0;;;0.0;4.4;;2020-01-01
37213;3.6;;2.6;0.0;5.6;2.8;2020-01-01
37033;2.0;;;;;;2020-01-01
37179;2.4;450.0;3.7;0.0;6.1;3.2;2020-01-01
37113;2.2;;;0.0;6.6;;2020-01-01
37109;3.8;;3.4;0.0;6.1;;2020-01-01
37067;5.2;;3.7;0.0;6.8;;2020-01-01
37003;5.6;;;0.0;5.7;;2020-01-01
37072;3.8;;;0.0;6.7;;2020-01-01
37253;4.4;;;0.0;5.4;;2020-01-01
37240;3.0;;3.0;0.0;5.7;2.9;2020-01-01
37192;6.6;;2.5;0.0;5.5;3.3;2020-01-01
37242;1.2;;4.6;0.0;7.3;2.3;2020-01-01
37122;5.0;;;0.0;6.0;;2020-01-01
37183;5.7;;;;5.4;;2020-01-01
37261;3.5;;;;;;2020-01-01
37083;8.0;;;;;;2020-01-01
37192;0.8;;7.9;0.0;8.8;3.7;2020-01-02
37083;0.0;;;;;;2020-01-02
37067;0.2;;7.1;0.0;9.3;;2020-01-02
37113;0.2;;;0.0;8.9;;2020-01-02
37119;0.2;;;0.0;9.7;;2020-01-02
37003;0.0;;;0.0;8.7;;2020-01-02
37122;0.2;;;0.0;8.9;;2020-01-02
37179;0.4;152.0;8.1;0.0;9.1;3.4;2020-01-02
37242;0.8;;8.0;0.0;9.8;2.8;2020-01-02
37183;0.8;;;;8.8;;2020-01-02
37033;0.5;;;;;;2020-01-02
37261;1.7;;;;;;2020-01-02
37213;0.2;;7.3;0.0;8.9;2.9;2020-01-02
37253;0.2;;;0.0;8.5;;2020-01-02
37240;0.4;;7.8;0.0;8.9;3.1;2020-01-02
37214;0.0;;;;;;2020-01-02
37023;0.2;;;0.0;8.3;;2020-01-02
37072;0.0;;;0.0;9.0;;2020-01-02
37109;0.6;;7.9;0.0;9.0;;2020-01-02
37033;0.0;;;;;;2020-01-03
37179;1.2;165.0;6.6;0.0;9.9;4.5;2020-01-03
37213;1.0;;8.0;0.0;10.2;4.4;2020-01-03
37261;1.3;;;;;;2020-01-03
37109;1.0;;7.1;0.0;9.9;;2020-01-03
37113;0.4;;;0.0;8.4;;2020-01-03
37023;2.2;;;0.0;8.4;;2020-01-03
37119;1.2;;;0.0;10.5;;2020-01-03
37083;0.0;;;;;;2020-01-03
37067;1.6;;5.6;0.0;10.5;;2020-01-03
37192;1.4;;2.7;0.0;8.6;4.9;2020-01-03
37240;0.6;;6.9;0.0;9.9;4.0;2020-01-03
37253;1.2;;;0.0;9.0;;2020-01-03
37122;0.4;;;0.0;9.8;;2020-01-03
37183;1.1;;;;8.8;;2020-01-03
37242;0.4;;8.1;0.0;11.1;3.8;2020-01-03
37072;2.4;;;0.0;10.1;;2020-01-03
37003;0.8;;;0.0;9.4;;2020-01-03
37214;1.2;;;;;;2020-01-03
37179;0.0;0.0;0.3;0.0;5.4;1.8;2020-01-04
37083;0.1;;;;;;2020-01-04
37067;0.2;;-1.1;59.0;4.8;;2020-01-04
37023;0.0;;;0.0;5.0;;2020-01-04
37192;0.2;;-2.7;0.0;5.1;1.4;2020-01-04
37253;0.2;;;0.0;4.9;;2020-01-04
37003;0.0;;;0.0;5.1;;2020-01-04
37213;0.2;;0.3;0.0;5.0;1.6;2020-01-04
37122;0.0;;;15.0;4.8;;2020-01-04
37183;0.2;;;;5.0;;2020-01-04
37072;0.0;;;0.0;4.9;;2020-01-04
37242;0.0;;-3.3;0.0;5.3;1.0;2020-01-04
37033;0.0;;;;;;2020-01-04
37109;0.0;;-2.2;40.0;4.2;;2020-01-04
37214;0.0;;;;;;2020-01-04
37261;0.0;;;;;;2020-01-04
37113;0.2;;;184.0;5.1;;2020-01-04
37240;0.2;;-1.7;0.0;4.6;0.7;2020-01-04
37119;0.0;;;31.0;6.0;;2020-01-04
37033;0.0;;;;;;2020-01-05
