code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
46038;0.0;;;0.0;3.8;;2020-01-01
46100;0.0;;;0.0;4.6;1.1;2020-01-01
46197;0.0;;;0.0;4.7;1.0;2020-01-01
46045;0.0;;;;;;2020-01-01
46201;0.0;;;;4.7;;2020-01-01
46267;0.0;;;;;;2020-01-01
46330;0.4;;;;;;2020-01-01
46173;0.0;;;;;;2020-01-01
46201;0.0;;;;6.7;;2020-01-02
46330;0.0;;;;;;2020-01-02
46267;0.0;;;;;;2020-01-02
46173;0.0;;;;;;2020-01-02
46045;0.0;;;;;;2020-01-02
46197;0.2;;;0.0;6.6;1.2;2020-01-02
46038;0.0;;;0.0;7.6;;2020-01-02
46100;0.0;;;0.0;6.1;2.3;2020-01-02
46330;1.0;;;;;;2020-01-03
46267;3.0;;;;;;2020-01-03
46201;4.1;;;;5.2;;2020-01-03
46045;2.2;;;;;;2020-01-03
46197;1.4;;;0.0;4.6;1.2;2020-01-03
46038;3.6;;;0.0;4.3;;2020-01-03
46100;2.0;;;0.0;4.7;0.9;2020-01-03
46173;2.6;;;;;;2020-01-03
46100;0.0;;;0.0;7.3;2.3;2020-01-04
46201;0.6;;;;6.3;;2020-01-04
46267;1.0;;;;;;2020-01-04
46173;1.4;;;;;;2020-01-04
46197;0.4;;;0.0;8.3;2.4;2020-01-04
46038;0.0;;;120.0;8.0;;2020-01-04
46045;0.0;;;;;;2020-01-04
46330;0.0;;;;;;2020-01-04
46201;0.0;;;;1.0;;2020-01-05
46038;0.2;;;948.0;2.6;;2020-01-05
46267;0.0;;;;;;2020-01-05
46045;0.0;;;;;;2020-01-05
46330;0.0;;;;;;2020-01-05
46100;0.2;;;337.0;2.4;1.0;2020-01-05
46173;0.0;;;;;;2020-01-05
46197;0.2;;;770.0;2.1;0.6;2020-01-05
46100;0.0;;;0.0;7.7;2.3;2020-01-06
46330;0.0;;;;;;2020-01-06
46173;0.0;;;;;;2020-01-06
46038;0.2;;;584.0;3.9;;2020-01-06
46197;0.2;;;523.0;5.2;1.0;2020-01-06
46267;0.0;;;;;;2020-01-06
46045;0.0;;;;;;2020-01-06
46201;0.0;;;;4.5;;2020-01-06
46267;1.0;;;;;;2020-01-07
46100;0.4;;;0.0;4.9;0.7;2020-01-07
46197;0.0;;;0.0;6.9;0.7;2020-01-07
46201;0.0;;;;6.0;;2020-01-07
46038;0.8;;;0.0;4.6;;2020-01-07
46173;0.7;;;;;;2020-01-07
46330;0.5;;;;;;2020-01-07
46045;0.8;;;;;;2020-01-07
46201;0.0;;;;9.0;;2020-01-08
46045;0.0;;;;;;2020-01-08
46267;0.0;;;;;;2020-01-08
46038;0.4;;;0.0;9.4;;2020-01-08
46173;0.0;;;;;;2020-01-08
46100;0.0;;;0.0;8.7;1.2;2020-01-08
46330;0.4;;;;;;2020-01-08
46197;0.4;;;0.0;9.4;0.6;2020-01-08
46330;5.1;;;;;;2020-01-09
46173;5.0;;;;;;2020-01-09
46267;5.0;;;;;;2020-01-09
46038;6.2;;;0.0;9.7;;2020-01-09
46100;3.2;;;0.0;11.6;2.6;2020-01-09
46201;4.7;;;;8.6;;2020-01-09
46197;4.4;;;0.0;9.1;2.2;2020-01-09
46045;8.2;;;;;;2020-01-09
46173;0.0;;;;;;2020-01-10
46100;2.2;;;0.0;7.3;3.3;2020-01-10
46197;0.2;;;0.0;8.0;3.3;2020-01-10
46330;0.5;;;;;;2020-01-10
46038;0.8;;;0.0;8.4;;2020-01-10
46267;2.0;;;;;;2020-01-10
46201;0.0;;;;7.0;;2020-01-10
46045;0.0;;;;;;2020-01-10
46100;0.2;;;89.0;3.3;1.1;2020-01-11
46267;0.0;;;;;;2020-01-11
46197;0.2;;;54.0;4.9;0.7;2020-01-11
46330;0.0;;;;;;2020-01-11
46173;0.0;;;;;;2020-01-11
46201;0.0;;;;5.2;;2020-01-11
46045;0.0;;;;;;2020-01-11
46038;0.0;;;326.0;4.5;;2020-01-11
46038;0.2;;;813.0;-0.3;;2020-01-12
46330;0.0;;;;;;2020-01-12
46197;0.2;;;991.0;-0.7;0.4;2020-01-12
46045;0.0;;;;;;2020-01-12
46201;0.0;;;;3.5;;2020-01-12
46173;0.0;;;;;;2020-01-12
46267;0.0;;;;;;2020-01-12
46100;0.2;;;730.0;-0.7;1.1;2020-01-12
46045;0.0;;;;;;2020-01-13
46201;0.0;;;;3.0;;2020-01-13
46038;0.0;;;933.0;2.8;;2020-01-13
46267;0.0;;;;;;2020-01-13
46330;0.0;;;;;;2020-01-13
46100;0.0;;;54.0;4.3;1.9;2020-01-13
46173;0.0;;;;;;2020-01-13
46197;0.2;;;569.0;3.2;1.0;2020-01-13
46173;0.0;;;;;;2020-01-14
46330;0.0;;;;;;2020-01-14
46100;0.0;;;0.0;9.0;3.4;2020-01-14
46197;0.0;;;0.0;7.4;2.6;2020-01-14
46267;0.0;;;;;;2020-01-14
46045;0.0;;;;;;2020-01-14
46201;0.0;;;;6.7;;2020-01-14
46038;0.2;;;539.0;6.5;;2020-01-14
46197;0.2;;;0.0;10.0;2.3;2020-01-15
46100;0.0;;;0.0;11.6;2.5;2020-01-15
46173;0.0;;;;;;2020-01-15
46330;0.0;;;;;;2020-01-15
46045;0.0;;;;;;2020-01-15
46038;0.0;;;0.0;10.3;;2020-01-15
46267;0.0;;;;;;2020-01-15
46201;2.0;;;;9.2;;2020-01-15
46038;0.0;;;0.0;8.5;;2020-01-16
46045;2.1;;;;;;2020-01-16
46197;0.6;;;0.0;9.6;2.6;2020-01-16
46201;3.0;;;;10.5;;2020-01-16
46100;0.6;;;0.0;10.7;2.9;2020-01-16
46267;0.0;;;;;;2020-01-16
46330;0.0;;;;;;2020-01-16
46173;0.3;;;;;;2020-01-16
46267;7.0;;;;;;2020-01-17
46330;7.4;;;;;;2020-01-17
46038;7.0;;;0.0;8.7;;2020-01-17
46100;6.6;;;0.0;6.8;2.6;2020-01-17
46197;8.2;;;0.0;7.7;3.5;2020-01-17
46173;4.0;;;;;;2020-01-17
46045;8.6;;;;;;2020-01-17
46201;3.2;;;;8.1;;2020-01-17
46100;0.0;;;0.0;5.9;2.3;2020-01-18
46197;0.2;;;0.0;5.0;1.8;2020-01-18
46045;0.0;;;;;;2020-01-18
46330;0.0;;;;;;2020-01-18
46173;0.0;;;;;;2020-01-18
46038;0.0;;;0.0;7.7;;2020-01-18
46267;0.0;;;;;;2020-01-18
46201;0.0;;;;5.5;;2020-01-18
46201;0.0;;;;5.5;;2020-01-19
46197;0.0;;;0.0;5.3;4.3;2020-01-19
46267;0.0;;;;;;2020-01-19
46330;0.0;;;;;;2020-01-19
46173;0.0;;;;;;2020-01-19
46100;0.0;;;0.0;5.1;3.5;2020-01-19
46045;0.0;;;;;;2020-01-19
46038;0.0;;;0.0;5.1;;2020-01-19
46173;0.0;;;;;;2020-01-20
46197;0.0;;;199.0;3.0;2.0;2020-01-20
46201;0.0;;;;5.2;;2020-01-20
46267;0.0;;;;;;2020-01-20
46100;0.0;;;0.0;3.2;3.0;2020-01-20
46038;0.0;;;119.0;3.5;;2020-01-20
46330;0.0;;;;;;2020-01-20
46045;0.0;;;;;;2020-01-20
46267;0.0;;;;;;2020-01-21
46045;0.0;;;;;;2020-01-21
46197;0.0;;;0.0;8.1;3.1;2020-01-21
46173;0.0;;;;;;2020-01-21
46201;0.0;;;;8.0;;2020-01-21
46100;0.0;;;0.0;7.6;3.3;2020-01-21
46038;0.0;;;0.0;5.3;;2020-01-21
46330;0.0;;;;;;2020-01-21
46267;2.5;;;;;;2020-01-22
46201;1.5;;;;9.7;;2020-01-22
46173;0.5;;;;;;2020-01-22
46045;0.0;;;;;;2020-01-22
46197;1.6;;;0.0;10.7;4.5;2020-01-22
46330;0.8;;;;;;2020-01-22
46100;0.0;;;0.0;10.3;4.5;2020-01-22
46038;0.0;;;0.0;8.9;;2020-01-22
46045;1.7;;;;;;2020-01-23
46267;0.0;;;;;;2020-01-23
46330;0.0;;;;;;2020-01-23
46173;1.0;;;;;;2020-01-23
46100;0.4;;;0.0;11.9;4.2;2020-01-23
46197;2.0;;;0.0;12.4;4.6;2020-01-23
46201;6.1;;;;11.1;;2020-01-23
46038;0.0;;;0.0;9.8;;2020-01-23
46197;0.2;;;0.0;8.1;1.3;2020-01-24
46330;0.0;;;;;;2020-01-24
46201;0.0;;;;8.3;;2020-01-24
46100;0.0;;;0.0;9.8;2.3;2020-01-24
46267;0.0;;;;;;2020-01-24
46038;0.0;;;0.0;7.7;;2020-01-24
46045;0.0;;;;;;2020-01-24
46173;0.0;;;;;;2020-01-24
46038;0.2;;;394.0;7.0;;2020-01-25
46100;0.0;;;0.0;9.6;2.3;2020-01-25
46045;0.0;;;;;;2020-01-25
46267;0.0;;;;;;2020-01-25
46330;0.0;;;;;;2020-01-25
46197;0.0;;;0.0;8.0;1.0;2020-01-25
46201;0.6;;;;8.7;;2020-01-25
46173;0.0;;;;;;2020-01-25
46173;0.0;;;;;;2020-01-26
46100;1.2;;;0.0;7.5;1.6;2020-01-26
46267;1.0;;;;;;2020-01-26
46330;0.4;;;;;;2020-01-26
46038;1.4;;;0.0;5.8;;2020-01-26
46201;0.0;;;;7.8;;2020-01-26
46197;0.6;;;0.0;7.4;1.4;2020-01-26
46045;0.7;;;;;;2020-01-26
46330;9.4;;;;;;2020-01-27
46100;9.2;;;0.0;5.4;2.6;2020-01-27
46201;11.0;;;;7.2;;2020-01-27
46045;12.0;;;;;;2020-01-27
