code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
03003;1.5;;;;;;2020-01-01
03149;0.0;;;;2.0;;2020-01-01
03108;0.0;;;0.0;4.4;;2020-01-01
03158;0.0;;;;;;2020-01-01
03006;0.0;;;;3.1;;2020-01-01
03321;1.5;;;;2.4;;2020-01-01
03204;0.2;;;597.0;2.3;;2020-01-01
03103;0.0;;;;;;2020-01-01
03240;0.2;;;144.0;1.5;;2020-01-01
03240;0.0;;;0.0;5.7;;2020-01-02
03204;0.0;;;73.0;5.3;;2020-01-02
03006;0.0;;;;5.4;;2020-01-02
03149;0.2;;;;4.8;;2020-01-02
03003;0.0;;;;;;2020-01-02
03321;0.1;;;;5.4;;2020-01-02
03108;0.0;;;0.0;5.1;;2020-01-02
03103;0.0;;;;;;2020-01-02
03158;0.0;;;;;;2020-01-02
03149;0.0;;;;5.0;;2020-01-03
03003;2.4;;;;;;2020-01-03
03108;1.6;;;0.0;5.5;;2020-01-03
03006;4.0;;;;5.2;;2020-01-03
03240;1.4;;;0.0;6.1;;2020-01-03
03103;1.1;;;;;;2020-01-03
03158;0.0;;;;;;2020-01-03
03321;2.2;;;;5.7;;2020-01-03
03204;0.2;;;150.0;4.9;;2020-01-03
03003;0.0;;;;;;2020-01-04
03006;0.6;;;;5.5;;2020-01-04
03108;0.2;;;0.0;3.3;;2020-01-04
03103;0.0;;;;;;2020-01-04
03321;0.1;;;;4.7;;2020-01-04
03204;0.2;;;0.0;5.8;;2020-01-04
03149;0.7;;;;6.8;;2020-01-04
03240;0.2;;;0.0;5.2;;2020-01-04
03158;0.0;;;;;;2020-01-04
03006;0.0;;;;2.8;;2020-01-05
03103;0.0;;;;;;2020-01-05
03158;0.0;;;;;;2020-01-05
03204;0.0;;;238.0;4.9;;2020-01-05
03149;0.0;;;;4.6;;2020-01-05
03321;0.0;;;;4.0;;2020-01-05
03108;0.0;;;0.0;4.9;;2020-01-05
03240;0.0;;;0.0;4.3;;2020-01-05
03003;0.0;;;;;;2020-01-05
03204;0.4;;;631.0;3.7;;2020-01-06
03158;0.0;;;;;;2020-01-06
03003;1.8;;;;;;2020-01-06
03321;1.3;;;;4.2;;2020-01-06
03240;0.8;;;206.0;4.6;;2020-01-06
03006;1.2;;;;4.0;;2020-01-06
03108;0.8;;;0.0;6.8;;2020-01-06
03149;0.0;;;;3.3;;2020-01-06
03103;0.5;;;;;;2020-01-06
03006;3.5;;;;3.3;;2020-01-07
03108;4.6;;;0.0;5.4;;2020-01-07
03240;3.0;;;0.0;5.8;;2020-01-07
03103;2.0;;;;;;2020-01-07
03158;0.6;;;;;;2020-01-07
03003;3.8;;;;;;2020-01-07
03321;2.2;;;;4.0;;2020-01-07
03204;2.0;;;96.0;4.1;;2020-01-07
03149;1.9;;;;4.3;;2020-01-07
03003;0.2;;;;;;2020-01-08
03321;1.1;;;;9.7;;2020-01-08
03103;0.3;;;;;;2020-01-08
03204;0.6;;;0.0;10.2;;2020-01-08
03149;0.8;;;;8.5;;2020-01-08
03158;0.4;;;;;;2020-01-08
03240;1.4;;;0.0;9.0;;2020-01-08
03108;0.4;;;0.0;9.2;;2020-01-08
03006;0.5;;;;7.6;;2020-01-08
03204;0.0;;;0.0;10.0;;2020-01-09
03321;0.2;;;;9.6;;2020-01-09
03240;1.8;;;0.0;10.1;;2020-01-09
03006;0.0;;;;10.5;;2020-01-09
03103;1.5;;;;;;2020-01-09
03158;0.9;;;;;;2020-01-09
03108;0.8;;;0.0;10.8;;2020-01-09
03149;0.0;;;;10.8;;2020-01-09
03003;2.1;;;;;;2020-01-09
03103;1.1;;;;;;2020-01-10
03240;0.2;;;0.0;7.2;;2020-01-10
03108;1.0;;;0.0;4.4;;2020-01-10
03158;0.0;;;;;;2020-01-10
03003;0.0;;;;;;2020-01-10
03006;2.5;;;;7.9;;2020-01-10
03149;0.7;;;;8.0;;2020-01-10
03321;1.7;;;;7.6;;2020-01-10
03204;0.2;;;0.0;7.8;;2020-01-10
03006;0.0;;;;5.1;;2020-01-11
03108;0.0;;;57.0;2.4;;2020-01-11
03240;0.2;;;0.0;4.9;;2020-01-11
03149;0.0;;;;6.0;;2020-01-11
03204;0.0;;;58.0;4.8;;2020-01-11
03003;0.0;;;;;;2020-01-11
03103;0.0;;;;;;2020-01-11
03321;0.0;;;;4.5;;2020-01-11
03158;0.0;;;;;;2020-01-11
03103;0.5;;;;;;2020-01-12
03321;2.1;;;;3.7;;2020-01-12
03006;1.3;;;;3.1;;2020-01-12
03204;0.8;;;554.0;3.0;;2020-01-12
03108;1.4;;;127.0;3.0;;2020-01-12
03158;0.0;;;;;;2020-01-12
03240;0.6;;;213.0;3.0;;2020-01-12
03003;0.8;;;;;;2020-01-12
03149;1.1;;;;2.5;;2020-01-12
03003;0.0;;;;;;2020-01-13
03108;0.2;;;0.0;8.0;;2020-01-13
03240;0.0;;;0.0;7.5;;2020-01-13
03321;0.1;;;;7.9;;2020-01-13
03149;0.0;;;;7.5;;2020-01-13
03006;0.0;;;;4.7;;2020-01-13
03103;0.0;;;;;;2020-01-13
03158;0.0;;;;;;2020-01-13
03204;0.0;;;0.0;8.6;;2020-01-13
03158;0.0;;;;;;2020-01-14
03321;0.1;;;;8.3;;2020-01-14
03006;0.0;;;;8.4;;2020-01-14
03149;0.0;;;;7.5;;2020-01-14
03103;0.0;;;;;;2020-01-14
03240;0.0;;;0.0;10.0;;2020-01-14
03108;0.0;;;0.0;8.5;;2020-01-14
03003;0.0;;;;;;2020-01-14
