code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
09206;0.0;;;;4.0;;2020-01-01
09301;0.0;;;;;;2020-01-01
09206;0.0;;;;6.9;;2020-01-01
09206;0.0;;;;6.9;;2020-01-02
09301;0.0;;;;;;2020-01-02
09206;0.0;;;;6.3;;2020-01-02
09301;0.0;;;;;;2020-01-03
09206;1.2;;;;7.3;;2020-01-03
09206;1.8;;;;2.8;;2020-01-03
09301;0.0;;;;;;2020-01-04
09206;0.0;;;;2.6;;2020-01-04
09206;0.0;;;;6.0;;2020-01-04
09301;0.0;;;;;;2020-01-05
09206;0.0;;;;7.3;;2020-01-05
09206;0.0;;;;4.0;;2020-01-05
09301;0.0;;;;;;2020-01-06
09206;0.0;;;;7.3;;2020-01-06
09206;0.0;;;;7.1;;2020-01-06
09206;0.0;;;;4.5;;2020-01-07
09206;0.0;;;;5.8;;2020-01-07
09301;0.0;;;;;;2020-01-07
09301;0.0;;;;;;2020-01-08
09206;0.0;;;;5.8;;2020-01-08
09206;0.0;;;;8.0;;2020-01-08
09301;2.1;;;;;;2020-01-09
09206;7.5;;;;8.5;;2020-01-09
09206;11.0;;;;7.7;;2020-01-09
09301;5.2;;;;;;2020-01-10
09206;6.5;;;;-1.0;;2020-01-10
09206;4.0;;;;5.0;;2020-01-10
09206;;;;;;;2020-01-11
09206;0.0;;;;4.5;;2020-01-11
09301;0.0;;;;;;2020-01-11
09206;0.0;;;;4.3;;2020-01-12
09301;0.0;;;;;;2020-01-12
09206;0.0;;;;;;2020-01-12
09301;0.0;;;;;;2020-01-13
09206;0.0;;;;3.8;;2020-01-13
09206;0.0;;;;2.8;;2020-01-13
09206;0.0;;;;6.1;;2020-01-14
09206;0.0;;;;4.5;;2020-01-14
09301;0.0;;;;;;2020-01-14
09206;0.0;;;;5.0;;2020-01-15
09301;0.0;;;;;;2020-01-15
09206;0.0;;;;5.5;;2020-01-15
09206;0.0;;;;4.6;;2020-01-16
09301;0.0;;;;;;2020-01-16
09206;0.0;;;;5.8;;2020-01-16
09301;14.0;;;;;;2020-01-17
